	geometric_mean_score	specificity_score	f1_score	accuracy_score
ecoli-0_vs_1	0.976	0.975	0.982	0.977
ecoli1	0.826	0.93	0.745	0.887
ecoli2	0.812	0.944	0.697	0.908
ecoli3	0.73	0.953	0.572	0.914
glass-0-1-2-3_vs_4-5-6	0.894	0.957	0.849	0.93
glass0	0.777	0.844	0.706	0.804
glass1	0.69	0.808	0.61	0.731
glass6	0.875	0.951	0.77	0.932
haberman	0.47	0.789	0.303	0.655
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.956	0.969	0.904	0.965
newthyroid2	0.915	0.967	0.857	0.951
page-blocks0	0.897	0.987	0.845	0.97
pima	0.664	0.769	0.572	0.702
segment0	0.985	0.996	0.975	0.993
vehicle0	0.896	0.952	0.844	0.927
vehicle1	0.651	0.816	0.507	0.741
vehicle2	0.936	0.966	0.905	0.951
vehicle3	0.666	0.835	0.527	0.761
wisconsin	0.933	0.963	0.916	0.942
yeast1	0.65	0.787	0.522	0.715
yeast3	0.798	0.958	0.664	0.927
