	geometric_mean_score	specificity_score	f1_score	accuracy_score
ecoli-0_vs_1	0.985	0.975	0.991	0.989
ecoli1	0.857	0.928	0.78	0.897
ecoli2	0.841	0.981	0.786	0.942
ecoli3	0.723	0.97	0.6	0.927
glass-0-1-2-3_vs_4-5-6	0.915	0.963	0.877	0.941
glass0	0.83	0.889	0.773	0.853
glass1	0.743	0.884	0.68	0.794
glass6	0.896	0.976	0.834	0.956
haberman	0.499	0.82	0.34	0.685
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.93	0.983	0.896	0.967
newthyroid2	0.948	0.986	0.924	0.974
page-blocks0	0.927	0.987	0.876	0.975
pima	0.725	0.849	0.652	0.77
segment0	0.986	0.998	0.981	0.995
vehicle0	0.939	0.974	0.91	0.958
vehicle1	0.66	0.881	0.54	0.782
vehicle2	0.97	0.981	0.952	0.975
vehicle3	0.613	0.913	0.493	0.788
wisconsin	0.962	0.971	0.95	0.965
yeast1	0.667	0.88	0.562	0.772
yeast3	0.842	0.974	0.75	0.947
