	geometric_mean_score	specificity_score	f1_score	accuracy_score
ecoli-0_vs_1	0.99	0.97	0.99	0.99
ecoli1	0.84	0.93	0.76	0.89
ecoli2	0.86	0.97	0.78	0.94
ecoli3	0.72	0.96	0.59	0.92
glass-0-1-2-3_vs_4-5-6	0.92	0.96	0.88	0.94
glass0	0.83	0.9	0.78	0.86
glass1	0.75	0.88	0.68	0.79
glass6	0.9	0.97	0.82	0.95
haberman	0.48	0.82	0.32	0.68
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.95	0.98	0.92	0.97
newthyroid2	0.91	0.98	0.88	0.96
pima	0.72	0.85	0.65	0.77
vehicle0	0.94	0.97	0.9	0.95
vehicle1	0.65	0.88	0.52	0.78
vehicle2	0.96	0.98	0.94	0.97
vehicle3	0.63	0.92	0.51	0.8
wisconsin	0.96	0.97	0.95	0.96
yeast1	0.66	0.87	0.55	0.77
yeast3	0.87	0.97	0.77	0.95
