	geometric_mean_score	specificity_score	f1_score	accuracy_score
ecoli-0_vs_1	0.985	0.975	0.991	0.989
ecoli1	0.857	0.93	0.781	0.899
ecoli2	0.846	0.972	0.776	0.938
ecoli3	0.723	0.962	0.589	0.92
glass-0-1-2-3_vs_4-5-6	0.919	0.96	0.879	0.941
glass0	0.842	0.906	0.793	0.867
glass1	0.739	0.873	0.675	0.787
glass6	0.921	0.968	0.844	0.956
haberman	0.498	0.82	0.339	0.685
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.947	0.983	0.915	0.972
newthyroid2	0.913	0.978	0.871	0.958
page-blocks0	0.925	0.987	0.874	0.975
pima	0.725	0.847	0.652	0.768
segment0	0.985	0.997	0.978	0.994
vehicle0	0.939	0.971	0.908	0.956
vehicle1	0.648	0.88	0.526	0.777
vehicle2	0.96	0.978	0.939	0.969
vehicle3	0.641	0.916	0.528	0.8
wisconsin	0.96	0.971	0.948	0.963
yeast1	0.662	0.874	0.554	0.767
yeast3	0.869	0.971	0.773	0.95
