	geometric_mean_score	specificity_score	f1_score	accuracy_score
ecoli-0_vs_1	0.978	0.975	0.984	0.98
ecoli1	0.859	0.936	0.789	0.903
ecoli2	0.819	0.97	0.745	0.929
ecoli3	0.698	0.952	0.533	0.908
glass-0-1-2-3_vs_4-5-6	0.907	0.969	0.873	0.941
glass0	0.815	0.896	0.76	0.846
glass1	0.758	0.921	0.706	0.818
glass6	0.892	0.989	0.858	0.965
haberman	0.467	0.844	0.312	0.693
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.973	0.975	0.929	0.974
newthyroid2	0.961	0.983	0.93	0.977
page-blocks0	0.863	0.985	0.801	0.962
pima	0.652	0.83	0.562	0.721
segment0	0.994	0.997	0.988	0.997
vehicle0	0.926	0.971	0.894	0.951
vehicle1	0.623	0.893	0.5	0.778
vehicle2	0.954	0.986	0.941	0.97
vehicle3	0.577	0.907	0.447	0.773
wisconsin	0.967	0.974	0.956	0.969
yeast1	0.594	0.871	0.471	0.738
yeast3	0.815	0.969	0.709	0.939
