	geometric_mean_score	specificity_score	f1_score	accuracy_score
ecoli-0_vs_1	0.978	0.975	0.979	0.97
ecoli1	0.852	0.917	0.794	0.887
ecoli2	0.845	0.938	0.72	0.905
ecoli3	0.759	0.92	0.519	0.887
glass-0-1-2-3_vs_4-5-6	0.897	0.948	0.826	0.92
glass0	0.779	0.82	0.67	0.79
glass1	0.733	0.811	0.672	0.768
glass6	0.934	0.959	0.785	0.949
haberman	0.488	0.72	0.382	0.65
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.964	0.989	0.938	0.974
newthyroid2	0.933	0.986	0.888	0.965
page-blocks0	0.937	0.978	0.857	0.971
pima	0.68	0.731	0.592	0.709
segment0	0.988	0.996	0.977	0.995
vehicle0	0.9	0.959	0.841	0.929
vehicle1	0.66	0.825	0.546	0.741
vehicle2	0.945	0.972	0.929	0.96
vehicle3	0.663	0.816	0.535	0.765
wisconsin	0.934	0.966	0.914	0.941
yeast1	0.65	0.772	0.528	0.701
yeast3	0.845	0.956	0.703	0.934
