	NBBAG_k7_fi1_euclidean	NBBAG_k7_fi1_cosine	NBBAG_k7_fi1_chebyshev	NBBAG_k7_fi1_manhattan
ecoli-0_vs_1	0.989	0.989	0.989	0.989
ecoli1	0.899	0.899	0.899	0.899
ecoli2	0.938	0.938	0.938	0.938
ecoli3	0.92	0.92	0.92	0.92
glass-0-1-2-3_vs_4-5-6	0.941	0.941	0.941	0.941
glass0	0.867	0.867	0.867	0.867
glass1	0.787	0.787	0.787	0.787
glass6	0.956	0.956	0.956	0.956
haberman	0.685	0.685	0.685	0.685
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.972	0.972	0.972	0.972
newthyroid2	0.958	0.958	0.958	0.958
page-blocks0	0.975	0.975	0.975	0.975
pima	0.768	0.768	0.768	0.768
segment0	0.994	0.994	0.994	0.994
vehicle0	0.956	0.956	0.956	0.956
vehicle1	0.777	0.777	0.777	0.777
vehicle2	0.969	0.969	0.969	0.969
vehicle3	0.8	0.8	0.8	0.8
wisconsin	0.963	0.963	0.963	0.963
yeast1	0.767	0.767	0.767	0.767
yeast3	0.95	0.95	0.95	0.95
