	NBBag_k7_fi1_chebyshev	NBBag_k7_fi1_cosine	NBBag_k7_fi1_euclidean	NBBag_k7_fi1_manhattan
ecoli-0_vs_1	0.986	0.986	0.986	0.986
ecoli1	0.857	0.855	0.862	0.861
ecoli2	0.865	0.865	0.86	0.861
ecoli3	0.76	0.762	0.759	0.759
glass-0-1-2-3_vs_4-5-6	0.914	0.921	0.921	0.916
glass0	0.841	0.837	0.846	0.842
glass1	0.752	0.762	0.754	0.756
glass6	0.924	0.914	0.924	0.914
haberman	0.561	0.571	0.565	0.565
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.949	0.942	0.949	0.949
newthyroid2	0.917	0.91	0.917	0.917
page-blocks0	0.927	0.928	0.927	0.929
pima	0.735	0.73	0.734	0.735
segment0	0.984	0.985	0.985	0.985
vehicle0	0.936	0.942	0.94	0.94
vehicle1	0.684	0.683	0.68	0.683
vehicle2	0.962	0.959	0.96	0.962
vehicle3	0.671	0.669	0.683	0.678
wisconsin	0.96	0.963	0.96	0.96
yeast1	0.692	0.694	0.688	0.684
yeast3	0.876	0.873	0.875	0.872
