	NBBag_k7_fi1_chebyshev	NBBag_k7_fi1_cosine	NBBag_k7_fi1_euclidean	NBBag_k7_fi1_manhattan
ecoli-0_vs_1	0.991	0.991	0.991	0.991
ecoli1	0.773	0.773	0.781	0.779
ecoli2	0.778	0.777	0.776	0.775
ecoli3	0.595	0.603	0.589	0.594
glass-0-1-2-3_vs_4-5-6	0.868	0.879	0.879	0.872
glass0	0.786	0.78	0.793	0.789
glass1	0.672	0.684	0.675	0.678
glass6	0.844	0.833	0.844	0.833
haberman	0.337	0.353	0.339	0.341
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.915	0.907	0.915	0.915
newthyroid2	0.871	0.864	0.871	0.871
page-blocks0	0.873	0.874	0.874	0.877
pima	0.654	0.646	0.652	0.654
segment0	0.978	0.977	0.978	0.978
vehicle0	0.901	0.908	0.908	0.905
vehicle1	0.533	0.531	0.526	0.532
vehicle2	0.942	0.937	0.939	0.942
vehicle3	0.507	0.504	0.528	0.519
wisconsin	0.949	0.949	0.948	0.947
yeast1	0.56	0.563	0.554	0.547
yeast3	0.77	0.769	0.773	0.766
