	NBBag_k7_fi1_chebyshev	NBBag_k7_fi1_cosine	NBBag_k7_fi1_euclidean	NBBag_k7_fi1_manhattan
ecoli-0_vs_1	0.985	0.985	0.985	0.985
ecoli1	0.852	0.85	0.857	0.856
ecoli2	0.851	0.85	0.846	0.846
ecoli3	0.72	0.72	0.723	0.726
glass-0-1-2-3_vs_4-5-6	0.912	0.919	0.919	0.913
glass0	0.838	0.834	0.842	0.838
glass1	0.735	0.747	0.739	0.742
glass6	0.921	0.91	0.921	0.91
haberman	0.497	0.51	0.498	0.5
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.947	0.94	0.947	0.947
newthyroid2	0.913	0.906	0.913	0.913
page-blocks0	0.925	0.926	0.925	0.927
pima	0.727	0.72	0.725	0.726
segment0	0.984	0.985	0.985	0.985
vehicle0	0.935	0.941	0.939	0.939
vehicle1	0.654	0.653	0.648	0.654
vehicle2	0.962	0.959	0.96	0.962
vehicle3	0.622	0.621	0.641	0.631
wisconsin	0.96	0.963	0.96	0.96
yeast1	0.666	0.669	0.662	0.656
yeast3	0.87	0.867	0.869	0.865
