	NBBag_k7_fi1_chebyshev	NBBag_k7_fi1_cosine	NBBag_k7_fi1_euclidean	NBBag_k7_fi1_manhattan
ecoli-0_vs_1	0.987	0.987	0.987	0.987
ecoli1	0.767	0.774	0.776	0.774
ecoli2	0.823	0.824	0.823	0.829
ecoli3	0.665	0.686	0.661	0.663
glass-0-1-2-3_vs_4-5-6	0.871	0.882	0.882	0.881
glass0	0.79	0.788	0.807	0.815
glass1	0.746	0.745	0.738	0.734
glass6	0.822	0.819	0.822	0.819
haberman	0.377	0.396	0.385	0.378
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.921	0.92	0.921	0.921
newthyroid2	0.912	0.91	0.912	0.912
page-blocks0	0.881	0.879	0.883	0.884
pima	0.687	0.684	0.691	0.69
segment0	0.986	0.982	0.985	0.983
vehicle0	0.901	0.907	0.91	0.902
vehicle1	0.595	0.594	0.591	0.591
vehicle2	0.938	0.933	0.937	0.937
vehicle3	0.64	0.628	0.646	0.649
wisconsin	0.95	0.942	0.947	0.943
yeast1	0.63	0.629	0.621	0.617
yeast3	0.763	0.767	0.772	0.763
