	NBBag_k7_fi1_chebyshev	NBBag_k7_fi1_cosine	NBBag_k7_fi1_euclidean	NBBag_k7_fi1_manhattan
ecoli-0_vs_1	0.997	0.997	0.997	0.997
ecoli1	0.787	0.78	0.794	0.793
ecoli2	0.759	0.759	0.749	0.75
ecoli3	0.557	0.557	0.557	0.557
glass-0-1-2-3_vs_4-5-6	0.872	0.882	0.882	0.872
glass0	0.786	0.779	0.786	0.771
glass1	0.627	0.647	0.634	0.647
glass6	0.88	0.86	0.88	0.86
haberman	0.31	0.322	0.31	0.316
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.914	0.9	0.914	0.914
newthyroid2	0.857	0.843	0.857	0.857
page-blocks0	0.868	0.87	0.867	0.87
pima	0.627	0.617	0.621	0.625
segment0	0.971	0.973	0.973	0.973
vehicle0	0.904	0.914	0.909	0.912
vehicle1	0.489	0.486	0.479	0.489
vehicle2	0.947	0.943	0.943	0.947
vehicle3	0.422	0.424	0.45	0.436
wisconsin	0.948	0.958	0.95	0.952
yeast1	0.506	0.512	0.502	0.493
yeast3	0.782	0.777	0.78	0.773
