	NBBag_k7_fi0.5_euclidean	NBBag_k7_fi1_euclidean	NBBag_k7_fi1.5_euclidean	NBBag_k7_fi2_euclidean
ecoli-0_vs_1	0.986	0.986	0.987	0.986
ecoli1	0.848	0.862	0.864	0.853
ecoli2	0.868	0.86	0.854	0.864
ecoli3	0.759	0.759	0.768	0.755
glass-0-1-2-3_vs_4-5-6	0.925	0.921	0.914	0.916
glass0	0.834	0.846	0.841	0.853
glass1	0.762	0.754	0.756	0.777
glass6	0.905	0.924	0.926	0.916
haberman	0.553	0.565	0.571	0.564
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.949	0.949	0.935	0.936
newthyroid2	0.919	0.917	0.917	0.935
page-blocks0	0.925	0.927	0.925	0.923
pima	0.73	0.734	0.736	0.718
segment0	0.986	0.985	0.984	0.984
vehicle0	0.941	0.94	0.941	0.948
vehicle1	0.679	0.68	0.693	0.682
vehicle2	0.96	0.96	0.964	0.968
vehicle3	0.673	0.683	0.674	0.679
wisconsin	0.961	0.96	0.961	0.963
yeast1	0.69	0.688	0.686	0.685
yeast3	0.873	0.875	0.879	0.881
