	NBBag_k7_fi0.5_euclidean	NBBag_k7_fi1_euclidean	NBBag_k7_fi1.5_euclidean	NBBag_k7_fi2_euclidean
ecoli-0_vs_1	0.991	0.991	0.993	0.991
ecoli1	0.762	0.781	0.784	0.767
ecoli2	0.784	0.776	0.776	0.793
ecoli3	0.587	0.589	0.608	0.586
glass-0-1-2-3_vs_4-5-6	0.883	0.879	0.868	0.872
glass0	0.775	0.793	0.785	0.801
glass1	0.685	0.675	0.676	0.704
glass6	0.824	0.844	0.858	0.847
haberman	0.32	0.339	0.353	0.334
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.915	0.915	0.899	0.902
newthyroid2	0.876	0.871	0.871	0.898
page-blocks0	0.871	0.874	0.87	0.87
pima	0.646	0.652	0.654	0.627
segment0	0.979	0.978	0.976	0.975
vehicle0	0.904	0.908	0.908	0.917
vehicle1	0.523	0.526	0.549	0.53
vehicle2	0.939	0.939	0.944	0.952
vehicle3	0.512	0.528	0.513	0.523
wisconsin	0.947	0.948	0.949	0.951
yeast1	0.558	0.554	0.551	0.547
yeast3	0.767	0.773	0.773	0.778
