	NBBag_k7_fi0.5_euclidean	NBBag_k7_fi1_euclidean	NBBag_k7_fi1.5_euclidean	NBBag_k7_fi2_euclidean
ecoli-0_vs_1	0.987	0.987	0.987	0.987
ecoli1	0.768	0.776	0.775	0.761
ecoli2	0.816	0.823	0.86	0.866
ecoli3	0.65	0.661	0.688	0.67
glass-0-1-2-3_vs_4-5-6	0.883	0.882	0.871	0.88
glass0	0.79	0.807	0.799	0.811
glass1	0.743	0.738	0.753	0.769
glass6	0.819	0.822	0.854	0.85
haberman	0.367	0.385	0.39	0.393
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.921	0.921	0.916	0.925
newthyroid2	0.918	0.912	0.912	0.929
page-blocks0	0.881	0.883	0.878	0.883
pima	0.696	0.691	0.701	0.672
segment0	0.985	0.985	0.982	0.98
vehicle0	0.896	0.91	0.909	0.912
vehicle1	0.584	0.591	0.62	0.596
vehicle2	0.937	0.937	0.94	0.95
vehicle3	0.648	0.646	0.626	0.658
wisconsin	0.941	0.947	0.949	0.947
yeast1	0.618	0.621	0.625	0.627
yeast3	0.762	0.772	0.762	0.768
