	NBBag_k7_fi0.5_euclidean	NBBag_k7_fi1_euclidean	NBBag_k7_fi1.5_euclidean	NBBag_k7_fi2_euclidean
ecoli-0_vs_1	0.997	0.997	1.0	0.997
ecoli1	0.768	0.794	0.8	0.781
ecoli2	0.768	0.749	0.73	0.749
ecoli3	0.557	0.557	0.571	0.543
glass-0-1-2-3_vs_4-5-6	0.891	0.882	0.872	0.872
glass0	0.771	0.786	0.779	0.8
glass1	0.647	0.634	0.627	0.659
glass6	0.843	0.88	0.88	0.86
haberman	0.291	0.31	0.327	0.303
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.914	0.914	0.886	0.886
newthyroid2	0.857	0.857	0.857	0.886
page-blocks0	0.863	0.867	0.863	0.859
pima	0.606	0.621	0.616	0.591
segment0	0.974	0.973	0.971	0.971
vehicle0	0.917	0.909	0.912	0.924
vehicle1	0.477	0.479	0.498	0.482
vehicle2	0.943	0.943	0.949	0.954
vehicle3	0.427	0.45	0.436	0.436
wisconsin	0.954	0.95	0.95	0.956
yeast1	0.509	0.502	0.494	0.489
yeast3	0.777	0.78	0.788	0.792
