	NBBag_k7_fi0.5_euclidean	NBBag_k7_fi1_euclidean	NBBag_k7_fi1.5_euclidean	NBBag_k7_fi2_euclidean
ecoli-0_vs_1	0.975	0.975	0.975	0.975
ecoli1	0.929	0.93	0.928	0.925
ecoli2	0.968	0.972	0.979	0.979
ecoli3	0.962	0.962	0.965	0.967
glass-0-1-2-3_vs_4-5-6	0.96	0.96	0.957	0.96
glass0	0.896	0.906	0.903	0.907
glass1	0.877	0.873	0.884	0.895
glass6	0.968	0.968	0.973	0.973
haberman	0.816	0.82	0.816	0.824
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.983	0.983	0.983	0.986
newthyroid2	0.981	0.978	0.978	0.983
page-blocks0	0.987	0.987	0.986	0.987
pima	0.854	0.847	0.857	0.844
segment0	0.997	0.997	0.997	0.997
vehicle0	0.965	0.971	0.97	0.971
vehicle1	0.881	0.88	0.888	0.882
vehicle2	0.978	0.978	0.979	0.982
vehicle3	0.92	0.916	0.912	0.923
wisconsin	0.967	0.971	0.972	0.971
yeast1	0.872	0.874	0.878	0.88
yeast3	0.97	0.971	0.969	0.97
