	nbbag_k7_fi1_euclidean	AdaBoost	ebbag	Bagging	RUSBoost	SMOTEAdaBoost
ecoli-0_vs_1	0.986	0.977	0.984	0.986	0.979	0.975
ecoli1	0.862	0.836	0.893	0.861	0.864	0.858
ecoli2	0.86	0.828	0.901	0.856	0.837	0.873
ecoli3	0.759	0.762	0.891	0.764	0.74	0.749
glass-0-1-2-3_vs_4-5-6	0.921	0.9	0.935	0.918	0.912	0.896
glass0	0.846	0.783	0.85	0.834	0.819	0.765
glass1	0.754	0.701	0.774	0.759	0.776	0.734
glass6	0.924	0.881	0.936	0.901	0.9	0.878
haberman	0.565	0.537	0.62	0.565	0.558	0.54
iris0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.949	0.956	0.966	0.935	0.973	0.955
newthyroid2	0.917	0.919	0.967	0.95	0.963	0.947
page-blocks0	0.927	0.902	0.959	0.928	0.872	0.937
pima	0.734	0.674	0.739	0.735	0.673	0.667
segment0	0.985	0.985	0.989	0.986	0.994	0.986
vehicle0	0.94	0.898	0.963	0.94	0.928	0.909
vehicle1	0.68	0.668	0.76	0.688	0.668	0.679
vehicle2	0.96	0.937	0.967	0.97	0.955	0.948
vehicle3	0.683	0.686	0.755	0.664	0.64	0.702
wisconsin	0.96	0.933	0.97	0.962	0.967	0.93
yeast1	0.688	0.663	0.722	0.693	0.641	0.667
yeast3	0.875	0.814	0.927	0.852	0.83	0.862
