	nbbag_k7_fi1_euclidean	AdaBoost	ebbag	Bagging	RUSBoost	SMOTEAdaBoost
ecoli-0_vs_1	0.991	0.982	0.99	0.991	0.984	0.975
ecoli1	0.781	0.745	0.795	0.78	0.789	0.713
ecoli2	0.776	0.697	0.808	0.786	0.745	0.761
ecoli3	0.589	0.572	0.619	0.6	0.533	0.541
glass-0-1-2-3_vs_4-5-6	0.879	0.849	0.886	0.877	0.873	0.876
glass0	0.793	0.706	0.787	0.773	0.76	0.699
glass1	0.675	0.61	0.703	0.68	0.706	0.681
glass6	0.844	0.77	0.867	0.834	0.858	0.805
haberman	0.339	0.303	0.456	0.34	0.312	0.322
iris0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.915	0.904	0.918	0.896	0.929	0.943
newthyroid2	0.871	0.857	0.925	0.924	0.93	0.903
page-blocks0	0.874	0.845	0.839	0.876	0.801	0.862
pima	0.652	0.572	0.662	0.652	0.562	0.614
segment0	0.978	0.975	0.97	0.981	0.988	0.978
vehicle0	0.908	0.844	0.908	0.91	0.894	0.85
vehicle1	0.526	0.507	0.62	0.54	0.5	0.519
vehicle2	0.939	0.905	0.944	0.952	0.941	0.914
vehicle3	0.528	0.527	0.612	0.493	0.447	0.531
wisconsin	0.948	0.916	0.957	0.95	0.956	0.916
yeast1	0.554	0.522	0.603	0.562	0.471	0.537
yeast3	0.773	0.664	0.754	0.75	0.709	0.734
