	nbbag_k7_fi1_euclidean	AdaBoost	ebbag	Bagging	RUSBoost	SMOTEAdaBoost
ecoli-0_vs_1	0.975	0.975	0.975	0.975	0.975	0.975
ecoli1	0.93	0.93	0.89	0.928	0.936	0.913
ecoli2	0.972	0.944	0.956	0.981	0.97	0.949
ecoli3	0.962	0.953	0.882	0.97	0.952	0.914
glass-0-1-2-3_vs_4-5-6	0.96	0.957	0.948	0.963	0.969	0.941
glass0	0.906	0.844	0.858	0.889	0.896	0.809
glass1	0.873	0.808	0.848	0.884	0.921	0.826
glass6	0.968	0.951	0.973	0.976	0.989	0.962
haberman	0.82	0.789	0.709	0.82	0.844	0.758
iris0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.983	0.969	0.975	0.983	0.975	0.992
newthyroid2	0.978	0.967	0.978	0.986	0.983	0.983
page-blocks0	0.987	0.987	0.963	0.987	0.985	0.976
pima	0.847	0.769	0.779	0.849	0.83	0.747
segment0	0.997	0.996	0.992	0.998	0.997	0.996
vehicle0	0.971	0.952	0.944	0.974	0.971	0.958
vehicle1	0.88	0.816	0.773	0.881	0.893	0.819
vehicle2	0.978	0.966	0.974	0.981	0.986	0.971
vehicle3	0.916	0.835	0.784	0.913	0.907	0.828
wisconsin	0.971	0.963	0.968	0.971	0.974	0.965
yeast1	0.874	0.787	0.785	0.88	0.871	0.778
yeast3	0.971	0.958	0.935	0.974	0.969	0.958
