	NBBAG_k7_fi0.5_eucl	NBBAG_k7_fi1_eucl	NBBAG_k7_fi1.5_eucl	NBBAG_k7_fi2_eucl
ecoli-0_vs_1	0.99	0.99	0.99	0.99
ecoli1	0.89	0.9	0.9	0.89
ecoli2	0.94	0.94	0.94	0.94
ecoli3	0.92	0.92	0.92	0.92
glass-0-1-2-3_vs_4-5-6	0.94	0.94	0.94	0.94
glass0	0.86	0.87	0.86	0.87
glass1	0.79	0.79	0.79	0.81
glass6	0.95	0.96	0.96	0.96
haberman	0.68	0.68	0.69	0.69
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.97	0.97	0.97	0.97
newthyroid2	0.96	0.96	0.96	0.97
pima	0.77	0.77	0.77	0.76
vehicle0	0.95	0.96	0.96	0.96
vehicle1	0.78	0.78	0.79	0.78
vehicle2	0.97	0.97	0.97	0.98
vehicle3	0.8	0.8	0.79	0.8
wisconsin	0.96	0.96	0.96	0.97
yeast1	0.77	0.77	0.76	0.77
yeast3	0.95	0.95	0.95	0.95
