	NBBag_k3_fi1_euclidean	NBBag_k5_fi1_euclidean	NBBag_k7_fi1_euclidean	NBBag_k9_fi1_euclidean	NBBag_k11_fi1_euclidean
ecoli-0_vs_1	0.986	0.986	0.986	0.986	0.986
ecoli1	0.855	0.854	0.862	0.851	0.85
ecoli2	0.85	0.856	0.86	0.855	0.865
ecoli3	0.776	0.782	0.759	0.767	0.76
glass-0-1-2-3_vs_4-5-6	0.913	0.915	0.921	0.91	0.91
glass0	0.837	0.835	0.846	0.848	0.85
glass1	0.759	0.762	0.754	0.762	0.74
glass6	0.924	0.914	0.924	0.914	0.914
haberman	0.576	0.573	0.565	0.563	0.571
iris0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.942	0.949	0.949	0.949	0.949
newthyroid2	0.917	0.917	0.917	0.917	0.925
page-blocks0	0.929	0.928	0.927	0.924	0.927
pima	0.747	0.738	0.734	0.733	0.735
segment0	0.986	0.984	0.985	0.984	0.984
vehicle0	0.94	0.939	0.94	0.943	0.94
vehicle1	0.681	0.681	0.68	0.685	0.676
vehicle2	0.962	0.96	0.96	0.963	0.961
vehicle3	0.679	0.678	0.683	0.675	0.67
wisconsin	0.96	0.96	0.96	0.962	0.96
yeast1	0.688	0.69	0.688	0.69	0.689
yeast3	0.879	0.874	0.875	0.876	0.87
