	NBBag_k3_fi1_euclidean	NBBag_k5_fi1_euclidean	NBBag_k7_fi1_euclidean	NBBag_k9_fi1_euclidean	NBBag_k11_fi1_euclidean
ecoli-0_vs_1	0.991	0.991	0.991	0.991	0.991
ecoli1	0.77	0.771	0.781	0.767	0.764
ecoli2	0.762	0.771	0.776	0.766	0.783
ecoli3	0.629	0.628	0.589	0.605	0.592
glass-0-1-2-3_vs_4-5-6	0.866	0.869	0.879	0.863	0.863
glass0	0.782	0.78	0.793	0.795	0.799
glass1	0.681	0.686	0.675	0.685	0.657
glass6	0.844	0.833	0.844	0.833	0.833
haberman	0.362	0.358	0.339	0.338	0.351
iris0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.907	0.915	0.915	0.915	0.915
newthyroid2	0.871	0.871	0.871	0.871	0.88
page-blocks0	0.876	0.875	0.874	0.871	0.873
pima	0.67	0.657	0.652	0.65	0.652
segment0	0.979	0.978	0.978	0.978	0.978
vehicle0	0.906	0.906	0.908	0.91	0.904
vehicle1	0.529	0.527	0.526	0.534	0.521
vehicle2	0.94	0.938	0.939	0.943	0.941
vehicle3	0.519	0.519	0.528	0.515	0.505
wisconsin	0.948	0.948	0.948	0.95	0.947
yeast1	0.553	0.558	0.554	0.556	0.556
yeast3	0.774	0.763	0.773	0.767	0.763
