	NBBag_k3_fi1_euclidean	NBBag_k5_fi1_euclidean	NBBag_k7_fi1_euclidean	NBBag_k9_fi1_euclidean	NBBag_k11_fi1_euclidean
ecoli-0_vs_1	0.985	0.985	0.985	0.985	0.985
ecoli1	0.849	0.849	0.857	0.846	0.845
ecoli2	0.834	0.841	0.846	0.84	0.852
ecoli3	0.745	0.753	0.723	0.734	0.719
glass-0-1-2-3_vs_4-5-6	0.912	0.913	0.919	0.907	0.907
glass0	0.833	0.83	0.842	0.843	0.846
glass1	0.744	0.749	0.739	0.748	0.725
glass6	0.921	0.91	0.921	0.91	0.91
haberman	0.518	0.515	0.498	0.497	0.509
iris0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.94	0.947	0.947	0.947	0.947
newthyroid2	0.913	0.913	0.913	0.913	0.921
page-blocks0	0.927	0.926	0.925	0.921	0.925
pima	0.739	0.728	0.725	0.724	0.725
segment0	0.986	0.984	0.985	0.984	0.984
vehicle0	0.939	0.938	0.939	0.942	0.939
vehicle1	0.649	0.65	0.648	0.657	0.646
vehicle2	0.961	0.96	0.96	0.963	0.961
vehicle3	0.632	0.63	0.641	0.627	0.62
wisconsin	0.96	0.96	0.96	0.962	0.96
yeast1	0.66	0.664	0.662	0.662	0.663
yeast3	0.873	0.868	0.869	0.869	0.863
