	NBBag_k3_fi1_euclidean	NBBag_k5_fi1_euclidean	NBBag_k7_fi1_euclidean	NBBag_k9_fi1_euclidean	NBBag_k11_fi1_euclidean
ecoli-0_vs_1	0.987	0.987	0.987	0.987	0.987
ecoli1	0.77	0.769	0.776	0.766	0.762
ecoli2	0.827	0.834	0.823	0.815	0.826
ecoli3	0.698	0.68	0.661	0.675	0.663
glass-0-1-2-3_vs_4-5-6	0.864	0.872	0.882	0.87	0.87
glass0	0.801	0.803	0.807	0.813	0.818
glass1	0.743	0.736	0.738	0.738	0.715
glass6	0.822	0.819	0.822	0.819	0.819
haberman	0.4	0.393	0.385	0.383	0.397
iris0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.92	0.921	0.921	0.921	0.921
newthyroid2	0.912	0.912	0.912	0.912	0.912
page-blocks0	0.882	0.88	0.883	0.884	0.881
pima	0.705	0.696	0.691	0.686	0.694
segment0	0.985	0.985	0.985	0.985	0.985
vehicle0	0.905	0.906	0.91	0.908	0.899
vehicle1	0.601	0.588	0.591	0.583	0.579
vehicle2	0.934	0.933	0.937	0.939	0.937
vehicle3	0.645	0.661	0.646	0.652	0.643
wisconsin	0.949	0.947	0.947	0.949	0.945
yeast1	0.629	0.628	0.621	0.632	0.623
yeast3	0.764	0.751	0.772	0.757	0.761
