	NBBag_k3_fi1_euclidean	NBBag_k5_fi1_euclidean	NBBag_k7_fi1_euclidean	NBBag_k9_fi1_euclidean	NBBag_k11_fi1_euclidean
ecoli-0_vs_1	0.997	0.997	0.997	0.997	0.997
ecoli1	0.781	0.78	0.794	0.774	0.774
ecoli2	0.729	0.74	0.749	0.74	0.759
ecoli3	0.586	0.6	0.557	0.571	0.557
glass-0-1-2-3_vs_4-5-6	0.873	0.873	0.882	0.863	0.863
glass0	0.771	0.764	0.786	0.786	0.786
glass1	0.64	0.654	0.634	0.654	0.62
glass6	0.88	0.86	0.88	0.86	0.86
haberman	0.334	0.334	0.31	0.309	0.322
iris0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.9	0.914	0.914	0.914	0.914
newthyroid2	0.857	0.857	0.857	0.857	0.871
page-blocks0	0.872	0.87	0.867	0.86	0.868
pima	0.642	0.625	0.621	0.621	0.619
segment0	0.974	0.971	0.973	0.971	0.971
vehicle0	0.912	0.909	0.909	0.917	0.914
vehicle1	0.477	0.484	0.479	0.497	0.479
vehicle2	0.947	0.945	0.943	0.947	0.945
vehicle3	0.438	0.431	0.45	0.429	0.419
wisconsin	0.948	0.95	0.95	0.952	0.95
yeast1	0.495	0.505	0.502	0.499	0.503
yeast3	0.789	0.78	0.78	0.783	0.77
