	NBBag_k3_fi1_euclidean	NBBag_k5_fi1_euclidean	NBBag_k7_fi1_euclidean	NBBag_k9_fi1_euclidean	NBBag_k11_fi1_euclidean
ecoli-0_vs_1	0.975	0.975	0.975	0.975	0.975
ecoli1	0.929	0.928	0.93	0.928	0.927
ecoli2	0.972	0.972	0.972	0.97	0.972
ecoli3	0.967	0.963	0.962	0.963	0.963
glass-0-1-2-3_vs_4-5-6	0.954	0.957	0.96	0.957	0.957
glass0	0.903	0.906	0.906	0.91	0.913
glass1	0.877	0.869	0.873	0.87	0.859
glass6	0.968	0.968	0.968	0.968	0.968
haberman	0.818	0.811	0.82	0.818	0.82
iris0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.983	0.983	0.983	0.983	0.983
newthyroid2	0.978	0.978	0.978	0.978	0.978
page-blocks0	0.986	0.986	0.987	0.987	0.986
pima	0.853	0.851	0.847	0.845	0.85
segment0	0.997	0.997	0.997	0.997	0.997
vehicle0	0.968	0.969	0.971	0.969	0.966
vehicle1	0.885	0.877	0.88	0.872	0.874
vehicle2	0.976	0.976	0.978	0.979	0.978
vehicle3	0.919	0.925	0.916	0.922	0.921
wisconsin	0.972	0.971	0.971	0.972	0.97
yeast1	0.88	0.876	0.874	0.881	0.875
yeast3	0.97	0.968	0.971	0.969	0.97
