	geometric_mean_score	f1_score	balanced_accuracy_score	precision_score	recall_score	specificity_score
ecoli-0_vs_1	0.976	0.982	0.977	0.987	0.979	0.975
ecoli1	0.826	0.745	0.836	0.763	0.741	0.93
ecoli2	0.812	0.697	0.828	0.709	0.713	0.944
ecoli3	0.73	0.572	0.762	0.602	0.571	0.953
glass-0-1-2-3_vs_4-5-6	0.894	0.849	0.9	0.88	0.844	0.957
glass0	0.777	0.706	0.783	0.708	0.721	0.844
glass1	0.69	0.61	0.701	0.632	0.593	0.808
glass6	0.875	0.77	0.881	0.754	0.81	0.951
haberman	0.47	0.303	0.537	0.329	0.285	0.789
iris0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.956	0.904	0.956	0.875	0.943	0.969
newthyroid2	0.915	0.857	0.919	0.871	0.871	0.967
page-blocks0	0.897	0.845	0.902	0.878	0.817	0.987
pima	0.664	0.572	0.674	0.572	0.578	0.769
segment0	0.985	0.975	0.985	0.976	0.974	0.996
vehicle0	0.896	0.844	0.898	0.848	0.844	0.952
vehicle1	0.651	0.507	0.668	0.499	0.521	0.816
vehicle2	0.936	0.905	0.937	0.903	0.908	0.966
vehicle3	0.666	0.527	0.686	0.528	0.537	0.835
wisconsin	0.933	0.916	0.933	0.931	0.904	0.963
yeast1	0.65	0.522	0.663	0.507	0.54	0.787
yeast3	0.798	0.664	0.814	0.667	0.669	0.958
