	geometric_mean_score	f1_score	balanced_accuracy_score	precision_score	recall_score	specificity_score
ecoli-0_vs_1	0.985	0.991	0.986	0.987	0.997	0.975
ecoli1	0.857	0.78	0.861	0.775	0.793	0.928
ecoli2	0.841	0.786	0.856	0.87	0.731	0.981
ecoli3	0.723	0.6	0.764	0.681	0.557	0.97
glass-0-1-2-3_vs_4-5-6	0.915	0.877	0.918	0.891	0.874	0.963
glass0	0.83	0.773	0.834	0.777	0.779	0.889
glass1	0.743	0.68	0.759	0.746	0.634	0.884
glass6	0.896	0.834	0.901	0.853	0.827	0.976
haberman	0.499	0.34	0.565	0.385	0.31	0.82
iris0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.93	0.896	0.935	0.915	0.886	0.983
newthyroid2	0.948	0.924	0.95	0.949	0.914	0.986
page-blocks0	0.927	0.876	0.928	0.882	0.87	0.987
pima	0.725	0.652	0.735	0.692	0.621	0.849
segment0	0.986	0.981	0.986	0.989	0.974	0.998
vehicle0	0.939	0.91	0.94	0.917	0.907	0.974
vehicle1	0.66	0.54	0.688	0.598	0.496	0.881
vehicle2	0.97	0.952	0.97	0.947	0.959	0.981
vehicle3	0.613	0.493	0.664	0.615	0.415	0.913
wisconsin	0.962	0.95	0.962	0.947	0.954	0.971
yeast1	0.667	0.562	0.693	0.635	0.507	0.88
yeast3	0.842	0.75	0.852	0.774	0.73	0.974
