	geometric_mean_score	f1_score	balanced_accuracy_score	precision_score	recall_score	specificity_score
ecoli-0_vs_1	0.983	0.99	0.984	0.987	0.993	0.975
ecoli1	0.892	0.795	0.893	0.721	0.897	0.89
ecoli2	0.896	0.808	0.901	0.781	0.845	0.956
ecoli3	0.891	0.619	0.891	0.472	0.9	0.882
glass-0-1-2-3_vs_4-5-6	0.934	0.886	0.935	0.859	0.922	0.948
glass0	0.848	0.787	0.85	0.745	0.843	0.858
glass1	0.766	0.703	0.774	0.719	0.7	0.848
glass6	0.934	0.867	0.936	0.852	0.9	0.973
haberman	0.611	0.456	0.62	0.406	0.531	0.709
iris0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.965	0.918	0.966	0.892	0.957	0.975
newthyroid2	0.966	0.925	0.967	0.904	0.957	0.978
page-blocks0	0.959	0.839	0.959	0.749	0.954	0.963
pima	0.737	0.662	0.739	0.633	0.699	0.779
segment0	0.989	0.97	0.989	0.956	0.985	0.992
vehicle0	0.963	0.908	0.963	0.845	0.982	0.944
vehicle1	0.758	0.62	0.76	0.533	0.747	0.773
vehicle2	0.967	0.944	0.967	0.928	0.961	0.974
vehicle3	0.754	0.612	0.755	0.53	0.727	0.784
wisconsin	0.97	0.957	0.97	0.945	0.971	0.968
yeast1	0.718	0.603	0.722	0.558	0.658	0.785
yeast3	0.927	0.754	0.927	0.644	0.92	0.935
