	G-mean	F1	BAC	Precision	Recall	Specificity
ecoli-0_vs_1	0.983	0.99	0.984	0.987	0.993	0.975
ecoli1	0.829	0.75	0.837	0.769	0.742	0.932
ecoli2	0.855	0.801	0.869	0.873	0.758	0.981
ecoli3	0.712	0.578	0.753	0.654	0.543	0.963
glass-0-1-2-3_vs_4-5-6	0.897	0.853	0.902	0.874	0.844	0.96
glass0	0.833	0.785	0.839	0.817	0.764	0.914
glass1	0.763	0.709	0.777	0.798	0.645	0.91
glass6	0.909	0.86	0.914	0.893	0.847	0.981
haberman	0.496	0.339	0.566	0.403	0.303	0.829
iris0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.948	0.924	0.952	0.939	0.914	0.989
newthyroid2	0.941	0.919	0.944	0.956	0.9	0.989
page-blocks0	0.924	0.875	0.926	0.886	0.864	0.987
pima	0.692	0.612	0.707	0.663	0.571	0.843
segment0	0.984	0.976	0.984	0.982	0.971	0.997
vehicle0	0.943	0.912	0.944	0.909	0.917	0.971
vehicle1	0.649	0.533	0.684	0.619	0.472	0.896
vehicle2	0.969	0.955	0.969	0.957	0.954	0.985
vehicle3	0.615	0.496	0.666	0.618	0.419	0.913
wisconsin	0.965	0.953	0.965	0.946	0.96	0.97
yeast1	0.663	0.558	0.691	0.638	0.5	0.882
yeast3	0.88	0.781	0.885	0.765	0.801	0.969
