	geometric_mean_score	f1_score	balanced_accuracy_score	precision_score	recall_score	specificity_score
ecoli-0_vs_1	0.985	0.991	0.986	0.987	0.997	0.975
ecoli1	0.853	0.774	0.858	0.77	0.788	0.929
ecoli2	0.842	0.779	0.858	0.844	0.74	0.975
ecoli3	0.711	0.589	0.755	0.677	0.543	0.967
glass-0-1-2-3_vs_4-5-6	0.91	0.864	0.913	0.863	0.872	0.954
glass0	0.825	0.771	0.83	0.784	0.764	0.896
glass1	0.758	0.697	0.771	0.744	0.666	0.877
glass6	0.903	0.824	0.907	0.819	0.847	0.968
haberman	0.514	0.356	0.573	0.402	0.328	0.818
iris0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.94	0.907	0.942	0.92	0.9	0.983
newthyroid2	0.906	0.864	0.91	0.91	0.843	0.978
page-blocks0	0.923	0.87	0.925	0.877	0.865	0.986
pima	0.732	0.661	0.742	0.705	0.627	0.857
segment0	0.985	0.978	0.985	0.985	0.973	0.997
vehicle0	0.939	0.904	0.939	0.9	0.912	0.967
vehicle1	0.644	0.52	0.676	0.581	0.475	0.878
vehicle2	0.961	0.941	0.961	0.938	0.945	0.978
vehicle3	0.64	0.531	0.685	0.66	0.448	0.922
wisconsin	0.963	0.952	0.963	0.953	0.952	0.974
yeast1	0.661	0.554	0.688	0.622	0.501	0.874
yeast3	0.865	0.766	0.872	0.764	0.773	0.97
