	geometric_mean_score	f1_score	balanced_accuracy_score	precision_score	recall_score	specificity_score
ecoli-0_vs_1	0.985	0.991	0.986	0.987	0.997	0.975
ecoli1	0.853	0.777	0.859	0.775	0.788	0.93
ecoli2	0.852	0.78	0.865	0.825	0.76	0.97
ecoli3	0.727	0.602	0.767	0.668	0.571	0.963
glass-0-1-2-3_vs_4-5-6	0.902	0.86	0.906	0.878	0.853	0.96
glass0	0.824	0.769	0.828	0.779	0.764	0.893
glass1	0.742	0.678	0.757	0.746	0.634	0.88
glass6	0.921	0.844	0.924	0.822	0.88	0.968
haberman	0.518	0.363	0.577	0.403	0.334	0.82
iris0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.947	0.915	0.949	0.921	0.914	0.983
newthyroid2	0.913	0.871	0.917	0.912	0.857	0.978
page-blocks0	0.929	0.879	0.931	0.884	0.875	0.987
pima	0.73	0.659	0.739	0.695	0.629	0.85
segment0	0.984	0.978	0.984	0.985	0.971	0.997
vehicle0	0.943	0.911	0.943	0.908	0.917	0.97
vehicle1	0.645	0.522	0.678	0.587	0.475	0.881
vehicle2	0.962	0.943	0.962	0.941	0.945	0.979
vehicle3	0.633	0.522	0.68	0.662	0.436	0.923
wisconsin	0.96	0.948	0.96	0.947	0.95	0.971
yeast1	0.66	0.551	0.686	0.616	0.5	0.873
yeast3	0.866	0.765	0.873	0.758	0.776	0.969
