	geometric_mean_score	f1_score	balanced_accuracy_score	precision_score	recall_score	specificity_score
ecoli-0_vs_1	0.985	0.991	0.986	0.987	0.997	0.975
ecoli1	0.855	0.776	0.86	0.769	0.794	0.927
ecoli2	0.84	0.769	0.856	0.831	0.74	0.972
ecoli3	0.719	0.593	0.76	0.667	0.557	0.963
glass-0-1-2-3_vs_4-5-6	0.913	0.872	0.916	0.881	0.872	0.96
glass0	0.816	0.765	0.823	0.806	0.736	0.91
glass1	0.717	0.648	0.735	0.715	0.608	0.863
glass6	0.901	0.823	0.905	0.815	0.843	0.968
haberman	0.517	0.359	0.574	0.395	0.334	0.813
iris0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.932	0.899	0.935	0.916	0.886	0.983
newthyroid2	0.913	0.871	0.917	0.912	0.857	0.978
page-blocks0	0.926	0.873	0.928	0.879	0.869	0.986
pima	0.72	0.647	0.731	0.688	0.616	0.847
segment0	0.985	0.978	0.986	0.983	0.974	0.997
vehicle0	0.938	0.902	0.939	0.896	0.912	0.965
vehicle1	0.643	0.519	0.675	0.582	0.47	0.88
vehicle2	0.961	0.94	0.961	0.935	0.945	0.977
vehicle3	0.633	0.521	0.68	0.649	0.441	0.919
wisconsin	0.961	0.947	0.961	0.94	0.956	0.966
yeast1	0.664	0.556	0.689	0.622	0.505	0.874
yeast3	0.864	0.768	0.871	0.769	0.77	0.971
