	geometric_mean_score	f1_score	balanced_accuracy_score	precision_score	recall_score	specificity_score
ecoli-0_vs_1	0.985	0.991	0.986	0.987	0.997	0.975
ecoli1	0.846	0.768	0.852	0.773	0.774	0.931
ecoli2	0.847	0.781	0.862	0.841	0.75	0.974
ecoli3	0.719	0.592	0.76	0.663	0.557	0.963
glass-0-1-2-3_vs_4-5-6	0.925	0.888	0.927	0.892	0.891	0.963
glass0	0.815	0.76	0.821	0.789	0.743	0.9
glass1	0.736	0.669	0.752	0.724	0.634	0.87
glass6	0.911	0.833	0.915	0.819	0.863	0.968
haberman	0.524	0.371	0.582	0.419	0.34	0.824
iris0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.94	0.907	0.942	0.92	0.9	0.983
newthyroid2	0.913	0.871	0.917	0.912	0.857	0.978
page-blocks0	0.926	0.875	0.928	0.881	0.869	0.986
pima	0.732	0.661	0.742	0.701	0.631	0.853
segment0	0.985	0.978	0.985	0.985	0.973	0.997
vehicle0	0.941	0.905	0.941	0.899	0.917	0.966
vehicle1	0.65	0.527	0.681	0.588	0.482	0.88
vehicle2	0.959	0.938	0.96	0.935	0.943	0.977
vehicle3	0.641	0.532	0.684	0.66	0.448	0.921
wisconsin	0.96	0.947	0.96	0.943	0.952	0.968
yeast1	0.656	0.547	0.684	0.616	0.493	0.874
yeast3	0.863	0.762	0.87	0.759	0.77	0.969
