	geometric_mean_score	f1_score	balanced_accuracy_score	precision_score	recall_score	specificity_score
ecoli-0_vs_1	0.978	0.984	0.979	0.986	0.983	0.975
ecoli1	0.859	0.789	0.864	0.793	0.792	0.936
ecoli2	0.819	0.745	0.837	0.828	0.704	0.97
ecoli3	0.698	0.533	0.74	0.582	0.529	0.952
glass-0-1-2-3_vs_4-5-6	0.907	0.873	0.912	0.907	0.855	0.969
glass0	0.815	0.76	0.819	0.781	0.743	0.896
glass1	0.758	0.706	0.776	0.811	0.631	0.921
glass6	0.892	0.858	0.9	0.94	0.81	0.989
haberman	0.467	0.312	0.558	0.392	0.272	0.844
iris0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.973	0.929	0.973	0.899	0.971	0.975
newthyroid2	0.961	0.93	0.963	0.926	0.943	0.983
page-blocks0	0.863	0.801	0.872	0.854	0.759	0.985
pima	0.652	0.562	0.673	0.626	0.517	0.83
segment0	0.994	0.988	0.994	0.985	0.991	0.997
vehicle0	0.926	0.894	0.928	0.908	0.884	0.971
vehicle1	0.623	0.5	0.668	0.596	0.443	0.893
vehicle2	0.954	0.941	0.955	0.961	0.924	0.986
vehicle3	0.577	0.447	0.64	0.573	0.372	0.907
wisconsin	0.967	0.956	0.967	0.953	0.96	0.974
yeast1	0.594	0.471	0.641	0.571	0.412	0.871
yeast3	0.815	0.709	0.83	0.742	0.69	0.969
