	geometric_mean_score	f1_score	balanced_accuracy_score	precision_score	recall_score	specificity_score
ecoli-0_vs_1	0.969	0.975	0.975	0.986	0.979	0.975
ecoli1	0.853	0.713	0.858	0.716	0.792	0.913
ecoli2	0.849	0.761	0.873	0.722	0.79	0.949
ecoli3	0.769	0.541	0.749	0.539	0.614	0.914
glass-0-1-2-3_vs_4-5-6	0.907	0.876	0.896	0.871	0.855	0.941
glass0	0.752	0.699	0.765	0.682	0.771	0.809
glass1	0.755	0.681	0.734	0.706	0.685	0.826
glass6	0.895	0.805	0.878	0.817	0.823	0.962
haberman	0.526	0.322	0.54	0.302	0.433	0.758
iris0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.964	0.943	0.955	0.91	0.943	0.992
newthyroid2	0.947	0.903	0.947	0.883	0.886	0.983
page-blocks0	0.928	0.862	0.937	0.823	0.891	0.976
pima	0.682	0.614	0.667	0.565	0.608	0.747
segment0	0.99	0.978	0.986	0.972	0.982	0.996
vehicle0	0.902	0.85	0.909	0.859	0.847	0.958
vehicle1	0.662	0.519	0.679	0.506	0.572	0.819
vehicle2	0.938	0.914	0.948	0.91	0.933	0.971
vehicle3	0.694	0.531	0.702	0.506	0.545	0.828
wisconsin	0.927	0.916	0.93	0.923	0.914	0.965
yeast1	0.641	0.537	0.667	0.494	0.529	0.778
yeast3	0.853	0.734	0.862	0.687	0.795	0.958
