	NBBag_k3_fi1_euclidean	NBBag_k5_fi1_euclidean	NBBag_k7_fi0.5_euclidean	NBBag_k3_fi2_chebyshev	NBBag_k5_fi2_chebyshev	NBBag_k7_fi2_chebyshev	NBBag_k9_fi2_chebyshev	NBBag_k11_fi2_chebyshev	NBBag_k7_fi1_chebyshev	NBBag_k7_fi1_cosine	NBBag_k7_fi1_euclidean	NBBag_k7_fi1_manhattan	NBBag_k7_fi1.5_euclidean	NBBag_k7_fi2_euclidean	NBBag_k9_fi1_euclidean	NBBag_k11_fi1_euclidean
ecoli-0_vs_1	0.986	0.986	0.986	0.986	0.987	0.986	0.984	0.984	0.986	0.986	0.986	0.986	0.987	0.984	0.986	0.986
ecoli1	0.858	0.861	0.851	0.851	0.848	0.845	0.847	0.837	0.859	0.86	0.861	0.852	0.862	0.849	0.857	0.855
ecoli2	0.858	0.846	0.855	0.858	0.859	0.869	0.864	0.869	0.865	0.856	0.852	0.862	0.868	0.85	0.866	0.857
ecoli3	0.755	0.761	0.758	0.748	0.739	0.739	0.767	0.753	0.767	0.76	0.761	0.76	0.761	0.761	0.767	0.752
glass-0-1-2-3_vs_4-5-6	0.913	0.919	0.921	0.91	0.9	0.906	0.913	0.902	0.906	0.916	0.921	0.927	0.914	0.91	0.917	0.921
glass0	0.83	0.834	0.83	0.837	0.851	0.857	0.839	0.839	0.828	0.823	0.835	0.821	0.835	0.841	0.837	0.825
glass1	0.771	0.745	0.747	0.746	0.767	0.778	0.786	0.777	0.757	0.735	0.753	0.752	0.753	0.77	0.77	0.755
glass6	0.907	0.924	0.924	0.918	0.926	0.926	0.914	0.914	0.924	0.905	0.924	0.915	0.918	0.918	0.924	0.924
haberman	0.573	0.577	0.561	0.565	0.561	0.584	0.569	0.566	0.577	0.574	0.572	0.582	0.559	0.578	0.561	0.578
iris0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.942	0.942	0.949	0.94	0.935	0.952	0.959	0.952	0.949	0.935	0.949	0.942	0.942	0.937	0.949	0.949
newthyroid2	0.91	0.919	0.917	0.919	0.91	0.949	0.94	0.944	0.917	0.917	0.917	0.917	0.917	0.935	0.917	0.925
page-blocks0	0.925	0.927	0.927	0.924	0.924	0.925	0.923	0.926	0.931	0.928	0.928	0.928	0.925	0.926	0.928	0.927
pima	0.742	0.741	0.733	0.73	0.729	0.722	0.722	0.707	0.739	0.731	0.744	0.742	0.728	0.726	0.734	0.742
segment0	0.985	0.986	0.986	0.984	0.983	0.983	0.984	0.984	0.984	0.986	0.986	0.985	0.984	0.983	0.985	0.984
vehicle0	0.939	0.941	0.943	0.941	0.951	0.949	0.948	0.944	0.943	0.939	0.939	0.941	0.946	0.952	0.942	0.939
vehicle1	0.676	0.674	0.668	0.676	0.676	0.687	0.681	0.684	0.678	0.675	0.676	0.681	0.679	0.684	0.679	0.688
vehicle2	0.961	0.963	0.963	0.966	0.965	0.966	0.968	0.969	0.962	0.961	0.964	0.96	0.963	0.966	0.96	0.963
vehicle3	0.685	0.68	0.673	0.671	0.682	0.669	0.671	0.666	0.68	0.68	0.675	0.684	0.675	0.678	0.677	0.672
wisconsin	0.963	0.96	0.958	0.96	0.96	0.963	0.965	0.965	0.96	0.961	0.959	0.96	0.961	0.962	0.958	0.961
yeast1	0.688	0.691	0.688	0.686	0.688	0.689	0.685	0.691	0.686	0.689	0.688	0.684	0.688	0.686	0.693	0.687
yeast3	0.872	0.877	0.875	0.873	0.876	0.88	0.881	0.885	0.873	0.871	0.871	0.87	0.871	0.882	0.87	0.872
