	NBBag_k3_fi1_euclidean	NBBag_k5_fi1_euclidean	NBBag_k7_fi0.5_euclidean	NBBag_k3_fi2_chebyshev	NBBag_k5_fi2_chebyshev	NBBag_k7_fi2_chebyshev	NBBag_k9_fi2_chebyshev	NBBag_k11_fi2_chebyshev	NBBag_k7_fi1_chebyshev	NBBag_k7_fi1_cosine	NBBag_k7_fi1_euclidean	NBBag_k7_fi1_manhattan	NBBag_k7_fi1.5_euclidean	NBBag_k7_fi2_euclidean	NBBag_k9_fi1_euclidean	NBBag_k11_fi1_euclidean
ecoli-0_vs_1	0.991	0.991	0.991	0.991	0.993	0.991	0.99	0.99	0.991	0.991	0.991	0.991	0.993	0.99	0.991	0.991
ecoli1	0.774	0.778	0.769	0.763	0.767	0.759	0.76	0.75	0.777	0.776	0.778	0.768	0.785	0.764	0.772	0.77
ecoli2	0.779	0.755	0.763	0.78	0.788	0.803	0.795	0.801	0.78	0.769	0.766	0.781	0.794	0.775	0.786	0.773
ecoli3	0.589	0.597	0.581	0.581	0.555	0.553	0.596	0.578	0.602	0.593	0.597	0.592	0.595	0.597	0.605	0.58
glass-0-1-2-3_vs_4-5-6	0.864	0.875	0.879	0.863	0.851	0.86	0.867	0.853	0.86	0.872	0.879	0.888	0.868	0.863	0.874	0.879
glass0	0.771	0.774	0.771	0.781	0.8	0.806	0.781	0.785	0.769	0.765	0.777	0.76	0.779	0.785	0.781	0.766
glass1	0.697	0.661	0.663	0.667	0.694	0.707	0.721	0.709	0.678	0.648	0.674	0.669	0.673	0.697	0.699	0.675
glass6	0.824	0.844	0.844	0.854	0.858	0.858	0.861	0.86	0.844	0.823	0.844	0.833	0.849	0.849	0.844	0.844
haberman	0.356	0.36	0.332	0.342	0.335	0.372	0.346	0.339	0.363	0.359	0.358	0.371	0.331	0.36	0.339	0.367
iris0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.907	0.907	0.915	0.901	0.899	0.924	0.934	0.924	0.915	0.899	0.915	0.907	0.907	0.908	0.915	0.915
newthyroid2	0.864	0.877	0.871	0.877	0.862	0.914	0.902	0.919	0.871	0.871	0.871	0.871	0.871	0.897	0.871	0.88
page-blocks0	0.87	0.874	0.872	0.87	0.871	0.873	0.871	0.875	0.879	0.873	0.875	0.875	0.87	0.872	0.873	0.873
pima	0.661	0.66	0.651	0.644	0.645	0.633	0.635	0.612	0.659	0.647	0.665	0.661	0.643	0.641	0.651	0.662
segment0	0.978	0.979	0.978	0.978	0.975	0.975	0.976	0.976	0.978	0.978	0.978	0.978	0.977	0.976	0.978	0.978
vehicle0	0.904	0.907	0.909	0.904	0.919	0.912	0.914	0.912	0.911	0.902	0.905	0.905	0.914	0.921	0.91	0.904
vehicle1	0.52	0.517	0.506	0.52	0.52	0.537	0.527	0.533	0.522	0.519	0.519	0.527	0.524	0.533	0.525	0.54
vehicle2	0.941	0.943	0.943	0.948	0.948	0.951	0.952	0.955	0.943	0.94	0.944	0.938	0.945	0.948	0.939	0.942
vehicle3	0.531	0.524	0.511	0.508	0.525	0.501	0.503	0.496	0.522	0.521	0.513	0.532	0.51	0.516	0.517	0.509
wisconsin	0.952	0.947	0.944	0.947	0.947	0.95	0.952	0.953	0.948	0.947	0.945	0.947	0.949	0.949	0.944	0.947
yeast1	0.554	0.559	0.554	0.552	0.553	0.556	0.548	0.558	0.551	0.556	0.553	0.547	0.553	0.549	0.562	0.554
yeast3	0.766	0.773	0.769	0.767	0.772	0.773	0.771	0.781	0.765	0.768	0.765	0.762	0.764	0.775	0.764	0.765
