	NBBag_k3_fi1_euclidean	NBBag_k5_fi1_euclidean	NBBag_k7_fi0.5_euclidean	NBBag_k3_fi2_chebyshev	NBBag_k5_fi2_chebyshev	NBBag_k7_fi2_chebyshev	NBBag_k9_fi2_chebyshev	NBBag_k11_fi2_chebyshev	NBBag_k7_fi1_chebyshev	NBBag_k7_fi1_cosine	NBBag_k7_fi1_euclidean	NBBag_k7_fi1_manhattan	NBBag_k7_fi1.5_euclidean	NBBag_k7_fi2_euclidean	NBBag_k9_fi1_euclidean	NBBag_k11_fi1_euclidean
ecoli-0_vs_1	0.985	0.985	0.985	0.985	0.987	0.985	0.983	0.983	0.985	0.985	0.985	0.985	0.987	0.983	0.985	0.985
ecoli1	0.853	0.856	0.844	0.844	0.842	0.839	0.841	0.829	0.853	0.855	0.856	0.846	0.856	0.842	0.852	0.849
ecoli2	0.842	0.827	0.838	0.842	0.843	0.856	0.85	0.855	0.852	0.84	0.835	0.847	0.854	0.832	0.853	0.841
ecoli3	0.711	0.719	0.723	0.703	0.688	0.692	0.731	0.712	0.727	0.719	0.719	0.719	0.718	0.723	0.734	0.711
glass-0-1-2-3_vs_4-5-6	0.91	0.918	0.919	0.907	0.896	0.903	0.908	0.897	0.902	0.913	0.919	0.925	0.912	0.907	0.913	0.919
glass0	0.825	0.829	0.826	0.832	0.848	0.853	0.832	0.833	0.824	0.816	0.832	0.815	0.83	0.835	0.833	0.819
glass1	0.758	0.728	0.729	0.732	0.755	0.762	0.772	0.763	0.742	0.717	0.74	0.736	0.738	0.753	0.758	0.74
glass6	0.903	0.921	0.921	0.914	0.923	0.923	0.909	0.909	0.921	0.901	0.921	0.911	0.915	0.915	0.921	0.921
haberman	0.514	0.517	0.49	0.501	0.493	0.525	0.502	0.496	0.518	0.517	0.515	0.524	0.493	0.517	0.499	0.522
iris0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.94	0.94	0.947	0.938	0.932	0.948	0.957	0.948	0.947	0.932	0.947	0.94	0.94	0.933	0.947	0.947
newthyroid2	0.906	0.914	0.913	0.914	0.905	0.946	0.937	0.941	0.913	0.913	0.913	0.913	0.913	0.93	0.913	0.921
page-blocks0	0.923	0.925	0.925	0.922	0.922	0.923	0.921	0.924	0.929	0.926	0.926	0.926	0.923	0.924	0.926	0.925
pima	0.732	0.731	0.723	0.719	0.72	0.709	0.711	0.692	0.73	0.72	0.735	0.732	0.718	0.717	0.723	0.733
segment0	0.985	0.986	0.985	0.984	0.983	0.983	0.984	0.984	0.984	0.985	0.985	0.985	0.984	0.983	0.985	0.984
vehicle0	0.939	0.941	0.942	0.94	0.95	0.948	0.947	0.943	0.943	0.938	0.938	0.941	0.946	0.951	0.941	0.938
vehicle1	0.644	0.64	0.632	0.645	0.643	0.653	0.645	0.649	0.645	0.643	0.646	0.65	0.647	0.654	0.647	0.659
vehicle2	0.961	0.963	0.963	0.965	0.965	0.966	0.967	0.969	0.962	0.961	0.964	0.959	0.963	0.965	0.96	0.963
vehicle3	0.64	0.635	0.626	0.623	0.636	0.617	0.621	0.615	0.633	0.633	0.628	0.641	0.623	0.631	0.631	0.625
wisconsin	0.963	0.96	0.958	0.96	0.96	0.963	0.965	0.965	0.96	0.961	0.958	0.96	0.961	0.962	0.958	0.961
yeast1	0.661	0.665	0.663	0.66	0.66	0.66	0.655	0.663	0.66	0.664	0.659	0.656	0.661	0.656	0.668	0.661
yeast3	0.865	0.87	0.868	0.866	0.87	0.875	0.876	0.88	0.866	0.864	0.865	0.863	0.865	0.877	0.863	0.865
