	NBBag_k3_fi1_euclidean	NBBag_k5_fi1_euclidean	NBBag_k7_fi0.5_euclidean	NBBag_k3_fi2_chebyshev	NBBag_k5_fi2_chebyshev	NBBag_k7_fi2_chebyshev	NBBag_k9_fi2_chebyshev	NBBag_k11_fi2_chebyshev	NBBag_k7_fi1_chebyshev	NBBag_k7_fi1_cosine	NBBag_k7_fi1_euclidean	NBBag_k7_fi1_manhattan	NBBag_k7_fi1.5_euclidean	NBBag_k7_fi2_euclidean	NBBag_k9_fi1_euclidean	NBBag_k11_fi1_euclidean
ecoli-0_vs_1	0.987	0.987	0.987	0.987	0.987	0.987	0.987	0.987	0.987	0.987	0.987	0.987	0.987	0.987	0.987	0.987
ecoli1	0.77	0.772	0.783	0.76	0.778	0.766	0.763	0.769	0.775	0.769	0.77	0.773	0.79	0.772	0.768	0.772
ecoli2	0.844	0.821	0.821	0.852	0.87	0.874	0.873	0.873	0.825	0.831	0.84	0.841	0.859	0.867	0.839	0.839
ecoli3	0.677	0.677	0.64	0.683	0.627	0.632	0.64	0.654	0.668	0.667	0.677	0.663	0.676	0.666	0.675	0.651
glass-0-1-2-3_vs_4-5-6	0.863	0.873	0.882	0.87	0.868	0.878	0.887	0.874	0.878	0.881	0.882	0.892	0.871	0.87	0.888	0.882
glass0	0.784	0.783	0.785	0.8	0.815	0.816	0.809	0.817	0.779	0.806	0.781	0.789	0.803	0.81	0.799	0.791
glass1	0.744	0.725	0.736	0.735	0.755	0.796	0.804	0.798	0.746	0.715	0.727	0.724	0.728	0.796	0.754	0.729
glass6	0.819	0.822	0.822	0.865	0.854	0.854	0.893	0.893	0.822	0.815	0.822	0.819	0.851	0.851	0.822	0.822
haberman	0.402	0.401	0.375	0.386	0.406	0.435	0.411	0.403	0.403	0.395	0.396	0.419	0.367	0.405	0.377	0.409
iris0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.92	0.92	0.921	0.908	0.916	0.939	0.942	0.939	0.921	0.916	0.921	0.92	0.92	0.939	0.921	0.921
newthyroid2	0.91	0.923	0.912	0.923	0.912	0.929	0.923	0.956	0.912	0.912	0.912	0.912	0.912	0.929	0.912	0.912
page-blocks0	0.877	0.881	0.877	0.879	0.883	0.883	0.883	0.886	0.884	0.879	0.882	0.881	0.877	0.88	0.877	0.879
pima	0.705	0.702	0.694	0.681	0.673	0.681	0.678	0.663	0.695	0.688	0.7	0.701	0.681	0.676	0.7	0.696
segment0	0.985	0.985	0.983	0.985	0.982	0.982	0.982	0.982	0.985	0.983	0.983	0.985	0.983	0.983	0.983	0.985
vehicle0	0.9	0.903	0.904	0.894	0.908	0.895	0.904	0.909	0.908	0.896	0.904	0.899	0.91	0.912	0.909	0.904
vehicle1	0.581	0.59	0.575	0.576	0.585	0.62	0.609	0.619	0.587	0.582	0.57	0.588	0.588	0.597	0.591	0.601
vehicle2	0.938	0.939	0.939	0.948	0.95	0.952	0.953	0.957	0.941	0.935	0.94	0.935	0.945	0.948	0.937	0.936
vehicle3	0.66	0.653	0.64	0.64	0.658	0.637	0.626	0.618	0.662	0.649	0.635	0.66	0.646	0.64	0.644	0.629
wisconsin	0.953	0.945	0.939	0.945	0.945	0.943	0.945	0.946	0.947	0.94	0.941	0.943	0.949	0.943	0.939	0.94
yeast1	0.622	0.63	0.614	0.617	0.63	0.64	0.628	0.638	0.616	0.622	0.63	0.616	0.625	0.632	0.628	0.623
yeast3	0.764	0.768	0.764	0.765	0.766	0.76	0.752	0.765	0.758	0.769	0.762	0.759	0.759	0.76	0.762	0.761
