	NBBag_k3_fi1_euclidean	NBBag_k5_fi1_euclidean	NBBag_k7_fi0.5_euclidean	NBBag_k3_fi2_chebyshev	NBBag_k5_fi2_chebyshev	NBBag_k7_fi2_chebyshev	NBBag_k9_fi2_chebyshev	NBBag_k11_fi2_chebyshev	NBBag_k7_fi1_chebyshev	NBBag_k7_fi1_cosine	NBBag_k7_fi1_euclidean	NBBag_k7_fi1_manhattan	NBBag_k7_fi1.5_euclidean	NBBag_k7_fi2_euclidean	NBBag_k9_fi1_euclidean	NBBag_k11_fi1_euclidean
ecoli-0_vs_1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ecoli1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[4]	[]	[]	[]
ecoli2	[]	[]	[]	[]	[3]	[2, 3]	[3, 10]	[]	[]	[]	[]	[]	[]	[3]	[]	[]
ecoli3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[3]	[]
glass-0-1-2-3_vs_4-5-6	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
glass0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[9]	[]	[]	[]
glass1	[]	[]	[]	[]	[]	[2, 3, 10, 11, 12, 13]	[2, 3, 4, 5, 10, 11, 12, 13, 16]	[11]	[2]	[]	[]	[]	[]	[2, 3, 4, 5, 9, 10, 11, 12, 13, 16]	[]	[]
glass6	[]	[]	[]	[]	[]	[]	[1, 2, 3, 9, 10, 11, 12, 15, 16]	[1, 2, 3, 9, 10, 11, 12, 15, 16]	[]	[]	[]	[]	[]	[]	[]	[]
haberman	[15]	[]	[]	[]	[]	[3, 4, 5, 7, 8, 13, 15]	[]	[]	[15]	[]	[]	[3, 4, 10, 15]	[]	[13]	[]	[15]
iris0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
new-thyroid1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
newthyroid2	[]	[]	[]	[]	[]	[]	[]	[1, 3, 5, 9, 10, 11, 12, 13, 15, 16]	[]	[]	[]	[]	[]	[]	[]	[]
page-blocks0	[]	[]	[]	[]	[]	[]	[]	[]	[1, 3, 15]	[]	[1, 3]	[]	[]	[]	[]	[]
pima	[5, 6, 8, 10, 13, 14]	[5, 8, 13, 14]	[]	[]	[]	[]	[]	[]	[]	[]	[5, 6]	[8, 14]	[]	[]	[]	[5, 14]
segment0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
vehicle0	[]	[]	[]	[]	[4]	[]	[]	[]	[12]	[]	[]	[]	[4]	[4, 6]	[12]	[]
vehicle1	[]	[]	[]	[]	[]	[1, 3, 4, 5, 9, 10, 11, 12, 13, 15]	[]	[4]	[]	[]	[]	[]	[]	[]	[]	[11]
vehicle2	[]	[]	[]	[2, 10, 12, 15]	[2, 15]	[2, 10, 12, 15]	[2, 10, 12, 15, 16]	[2, 4, 10, 12, 13, 15, 16]	[]	[]	[]	[]	[10, 15]	[2, 10, 12, 15]	[]	[]
vehicle3	[8]	[]	[]	[]	[]	[]	[]	[]	[8, 11, 14]	[]	[]	[8]	[]	[]	[]	[]
wisconsin	[4, 5, 6, 11, 14, 15]	[]	[]	[]	[]	[]	[]	[]	[15]	[]	[]	[]	[]	[]	[]	[]
yeast1	[]	[3]	[]	[]	[]	[2, 3, 9]	[]	[3]	[]	[]	[]	[]	[]	[]	[]	[]
yeast3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
