	NBBag_k3_fi1_euclidean	NBBag_k5_fi1_euclidean	NBBag_k7_fi0.5_euclidean	NBBag_k3_fi2_chebyshev	NBBag_k5_fi2_chebyshev	NBBag_k7_fi2_chebyshev	NBBag_k9_fi2_chebyshev	NBBag_k11_fi2_chebyshev	NBBag_k7_fi1_chebyshev	NBBag_k7_fi1_cosine	NBBag_k7_fi1_euclidean	NBBag_k7_fi1_manhattan	NBBag_k7_fi1.5_euclidean	NBBag_k7_fi2_euclidean	NBBag_k9_fi1_euclidean	NBBag_k11_fi1_euclidean
ecoli-0_vs_1	0.997	0.997	0.997	0.997	1.0	0.997	0.993	0.993	0.997	0.997	0.997	0.997	1.0	0.993	0.997	0.997
ecoli1	0.788	0.794	0.768	0.775	0.761	0.761	0.768	0.742	0.788	0.794	0.794	0.774	0.787	0.768	0.787	0.781
ecoli2	0.74	0.72	0.739	0.738	0.738	0.758	0.748	0.758	0.76	0.74	0.73	0.75	0.758	0.719	0.759	0.74
ecoli3	0.543	0.557	0.557	0.529	0.514	0.514	0.571	0.543	0.571	0.557	0.557	0.557	0.557	0.557	0.571	0.543
glass-0-1-2-3_vs_4-5-6	0.872	0.882	0.882	0.863	0.844	0.853	0.863	0.844	0.853	0.872	0.882	0.891	0.872	0.863	0.871	0.882
glass0	0.764	0.771	0.764	0.771	0.793	0.807	0.771	0.764	0.764	0.736	0.779	0.743	0.764	0.771	0.771	0.75
glass1	0.666	0.62	0.614	0.62	0.653	0.646	0.658	0.645	0.634	0.608	0.64	0.634	0.633	0.626	0.66	0.641
glass6	0.847	0.88	0.88	0.86	0.88	0.88	0.847	0.847	0.88	0.843	0.88	0.863	0.863	0.863	0.88	0.88
haberman	0.328	0.334	0.304	0.315	0.296	0.334	0.303	0.303	0.334	0.334	0.334	0.34	0.31	0.334	0.316	0.34
iris0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.9	0.9	0.914	0.9	0.886	0.914	0.929	0.914	0.914	0.886	0.914	0.9	0.9	0.886	0.914	0.914
newthyroid2	0.843	0.857	0.857	0.857	0.843	0.914	0.9	0.9	0.857	0.857	0.857	0.857	0.857	0.886	0.857	0.871
page-blocks0	0.865	0.868	0.868	0.861	0.861	0.863	0.86	0.864	0.875	0.869	0.869	0.869	0.864	0.865	0.869	0.868
pima	0.627	0.627	0.616	0.615	0.623	0.595	0.599	0.571	0.629	0.616	0.636	0.631	0.612	0.612	0.614	0.634
segment0	0.973	0.974	0.974	0.971	0.969	0.969	0.971	0.971	0.971	0.974	0.974	0.973	0.971	0.969	0.973	0.971
vehicle0	0.912	0.914	0.917	0.917	0.932	0.932	0.927	0.917	0.917	0.912	0.909	0.917	0.922	0.932	0.914	0.909
vehicle1	0.475	0.465	0.456	0.477	0.473	0.477	0.47	0.472	0.475	0.47	0.481	0.482	0.477	0.486	0.477	0.493
vehicle2	0.945	0.947	0.947	0.95	0.947	0.95	0.952	0.954	0.945	0.945	0.95	0.943	0.945	0.949	0.943	0.95
vehicle3	0.448	0.441	0.429	0.424	0.443	0.417	0.426	0.419	0.436	0.441	0.434	0.448	0.427	0.438	0.436	0.429
wisconsin	0.952	0.95	0.95	0.95	0.95	0.958	0.96	0.96	0.95	0.956	0.95	0.952	0.95	0.956	0.95	0.956
yeast1	0.501	0.505	0.507	0.5	0.496	0.493	0.489	0.5	0.5	0.505	0.495	0.493	0.499	0.489	0.51	0.5
yeast3	0.773	0.783	0.78	0.777	0.782	0.792	0.795	0.801	0.776	0.77	0.773	0.77	0.773	0.795	0.77	0.773
