	NBBag_k3_fi1_euclidean	NBBag_k5_fi1_euclidean	NBBag_k7_fi0.5_euclidean	NBBag_k3_fi2_chebyshev	NBBag_k5_fi2_chebyshev	NBBag_k7_fi2_chebyshev	NBBag_k9_fi2_chebyshev	NBBag_k11_fi2_chebyshev	NBBag_k7_fi1_chebyshev	NBBag_k7_fi1_cosine	NBBag_k7_fi1_euclidean	NBBag_k7_fi1_manhattan	NBBag_k7_fi1.5_euclidean	NBBag_k7_fi2_euclidean	NBBag_k9_fi1_euclidean	NBBag_k11_fi1_euclidean
ecoli-0_vs_1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ecoli1	[8]	[3, 5, 6, 8, 14]	[8]	[8]	[]	[]	[]	[]	[8]	[3, 5, 6, 8, 14]	[5, 8]	[]	[5, 6, 8]	[]	[5, 6, 8]	[8]
ecoli2	[]	[]	[]	[]	[]	[]	[]	[2, 14]	[]	[]	[]	[]	[2]	[]	[]	[]
ecoli3	[]	[]	[]	[]	[]	[]	[5, 6]	[]	[5]	[]	[]	[]	[]	[]	[5]	[]
glass-0-1-2-3_vs_4-5-6	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
glass0	[]	[]	[]	[]	[10]	[9, 10, 12, 13, 16]	[]	[]	[]	[]	[16]	[]	[]	[]	[]	[]
glass1	[2, 3, 4, 10, 13]	[]	[]	[]	[3]	[]	[]	[]	[]	[]	[3]	[]	[]	[]	[2, 3, 10, 12]	[]
glass6	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
haberman	[]	[13]	[]	[]	[]	[5, 7]	[]	[]	[]	[3]	[]	[3, 4, 15]	[]	[]	[]	[3, 15]
iris0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
new-thyroid1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
newthyroid2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
page-blocks0	[]	[]	[]	[]	[]	[]	[]	[]	[1, 4, 5, 7, 12]	[1, 4]	[]	[]	[]	[]	[4]	[]
pima	[6, 8]	[6, 7, 8]	[8]	[6, 8]	[6, 8]	[]	[]	[]	[6, 8]	[8]	[6, 7, 8]	[6, 7, 8]	[8]	[8]	[8]	[2, 6, 7, 8, 13, 15]
segment0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
vehicle0	[]	[]	[]	[]	[1, 2, 4, 9, 10, 11, 15, 16]	[1, 2]	[1, 8, 11, 12, 15, 16]	[]	[]	[]	[]	[]	[]	[1, 2, 10, 11, 12, 15, 16]	[]	[]
vehicle1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[3]
vehicle2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
vehicle3	[4]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[4]	[]	[]	[]	[]
wisconsin	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
yeast1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[6]	[]
yeast3	[]	[]	[]	[]	[]	[15]	[9, 10, 11, 15]	[1, 10, 11, 12, 13, 15]	[]	[]	[]	[]	[]	[10, 11, 13, 15, 16]	[]	[]
