	NBBag_k3_fi1_euclidean	NBBag_k5_fi1_euclidean	NBBag_k7_fi0.5_euclidean	NBBag_k3_fi2_chebyshev	NBBag_k5_fi2_chebyshev	NBBag_k7_fi2_chebyshev	NBBag_k9_fi2_chebyshev	NBBag_k11_fi2_chebyshev	NBBag_k7_fi1_chebyshev	NBBag_k7_fi1_cosine	NBBag_k7_fi1_euclidean	NBBag_k7_fi1_manhattan	NBBag_k7_fi1.5_euclidean	NBBag_k7_fi2_euclidean	NBBag_k9_fi1_euclidean	NBBag_k11_fi1_euclidean
ecoli-0_vs_1	0.975	0.975	0.975	0.975	0.975	0.975	0.975	0.975	0.975	0.975	0.975	0.975	0.975	0.975	0.975	0.975
ecoli1	0.929	0.928	0.934	0.927	0.934	0.929	0.927	0.932	0.93	0.927	0.929	0.931	0.936	0.931	0.927	0.929
ecoli2	0.975	0.972	0.97	0.977	0.981	0.981	0.981	0.981	0.97	0.972	0.974	0.974	0.977	0.981	0.974	0.974
ecoli3	0.967	0.965	0.958	0.967	0.963	0.963	0.962	0.963	0.963	0.963	0.965	0.963	0.965	0.965	0.963	0.962
glass-0-1-2-3_vs_4-5-6	0.954	0.957	0.96	0.957	0.957	0.96	0.963	0.96	0.96	0.96	0.96	0.963	0.957	0.957	0.963	0.96
glass0	0.896	0.896	0.896	0.903	0.91	0.907	0.906	0.914	0.893	0.91	0.892	0.9	0.906	0.91	0.903	0.899
glass1	0.877	0.87	0.881	0.873	0.881	0.91	0.913	0.91	0.88	0.863	0.866	0.87	0.873	0.913	0.88	0.87
glass6	0.968	0.968	0.968	0.976	0.973	0.973	0.981	0.981	0.968	0.968	0.968	0.968	0.973	0.973	0.968	0.968
haberman	0.818	0.82	0.818	0.816	0.827	0.833	0.836	0.829	0.82	0.813	0.811	0.824	0.809	0.822	0.807	0.816
iris0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.983	0.983	0.983	0.981	0.983	0.989	0.989	0.989	0.983	0.983	0.983	0.983	0.983	0.989	0.983	0.983
newthyroid2	0.978	0.981	0.978	0.981	0.978	0.983	0.981	0.989	0.978	0.978	0.978	0.978	0.978	0.983	0.978	0.978
page-blocks0	0.986	0.986	0.986	0.986	0.987	0.987	0.987	0.987	0.987	0.986	0.987	0.986	0.986	0.986	0.986	0.986
pima	0.857	0.855	0.851	0.844	0.835	0.848	0.846	0.843	0.85	0.847	0.851	0.853	0.845	0.841	0.854	0.849
segment0	0.997	0.997	0.997	0.997	0.997	0.997	0.997	0.997	0.997	0.997	0.997	0.997	0.997	0.997	0.997	0.997
vehicle0	0.967	0.968	0.968	0.965	0.97	0.965	0.968	0.971	0.97	0.965	0.968	0.966	0.971	0.971	0.97	0.968
vehicle1	0.878	0.883	0.881	0.875	0.879	0.896	0.891	0.896	0.881	0.88	0.871	0.88	0.881	0.881	0.881	0.882
vehicle2	0.978	0.979	0.979	0.982	0.982	0.983	0.983	0.985	0.979	0.977	0.979	0.977	0.981	0.982	0.978	0.977
vehicle3	0.922	0.92	0.917	0.919	0.92	0.92	0.915	0.913	0.923	0.919	0.916	0.921	0.923	0.917	0.918	0.915
wisconsin	0.974	0.97	0.966	0.97	0.97	0.968	0.97	0.97	0.971	0.966	0.967	0.968	0.972	0.968	0.966	0.966
yeast1	0.874	0.878	0.869	0.873	0.88	0.886	0.881	0.882	0.873	0.874	0.88	0.874	0.877	0.883	0.875	0.875
yeast3	0.97	0.97	0.97	0.97	0.97	0.969	0.967	0.969	0.969	0.971	0.97	0.969	0.969	0.969	0.97	0.97
