	NBBag_k3_fi1_euclidean	NBBag_k5_fi1_euclidean	NBBag_k7_fi0.5_euclidean	NBBag_k3_fi2_chebyshev	NBBag_k5_fi2_chebyshev	NBBag_k7_fi2_chebyshev	NBBag_k9_fi2_chebyshev	NBBag_k11_fi2_chebyshev	NBBag_k7_fi1_chebyshev	NBBag_k7_fi1_cosine	NBBag_k7_fi1_euclidean	NBBag_k7_fi1_manhattan	NBBag_k7_fi1.5_euclidean	NBBag_k7_fi2_euclidean	NBBag_k9_fi1_euclidean	NBBag_k11_fi1_euclidean
ecoli-0_vs_1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ecoli1	[]	[]	[]	[]	[7]	[]	[]	[]	[]	[]	[]	[]	[4]	[]	[]	[]
ecoli2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ecoli3	[3]	[3]	[]	[]	[]	[]	[]	[]	[]	[]	[3]	[]	[3]	[]	[]	[]
glass-0-1-2-3_vs_4-5-6	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
glass0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[9, 11]	[]	[]	[]
glass1	[]	[]	[]	[]	[]	[11, 13]	[1, 2, 3, 4, 5, 9, 10, 11, 12, 13, 16]	[11]	[11]	[]	[]	[]	[]	[1, 2, 3, 4, 5, 9, 10, 11, 12, 13, 16]	[]	[]
glass6	[]	[]	[]	[]	[]	[]	[1, 2, 3, 9, 10, 11, 12, 15, 16]	[1, 2, 3, 9, 10, 11, 12, 15, 16]	[]	[]	[]	[]	[]	[]	[]	[]
haberman	[]	[]	[]	[]	[]	[10, 13]	[10, 13, 15]	[]	[]	[]	[]	[]	[]	[]	[]	[]
iris0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
new-thyroid1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
newthyroid2	[]	[]	[]	[]	[]	[]	[]	[1, 3, 5, 9, 10, 11, 12, 13, 15, 16]	[]	[]	[]	[]	[]	[]	[]	[]
page-blocks0	[]	[]	[]	[]	[]	[]	[]	[]	[1, 15]	[]	[]	[]	[]	[]	[]	[]
pima	[5, 14]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[5]	[]
segment0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
vehicle0	[]	[]	[]	[]	[]	[]	[]	[6]	[]	[]	[10]	[]	[4]	[4, 6]	[12]	[]
vehicle1	[]	[11]	[]	[]	[]	[1, 4, 5, 10, 11, 12, 13, 14]	[4, 11]	[1, 3, 4, 5, 9, 10, 11, 12, 13, 14, 15, 16]	[]	[]	[]	[]	[]	[]	[11]	[11]
vehicle2	[]	[]	[]	[2, 10, 15]	[15]	[2, 10, 15]	[2, 10, 12, 15, 16]	[2, 4, 10, 12, 13, 15, 16]	[]	[]	[]	[]	[15]	[2, 15]	[]	[]
vehicle3	[]	[]	[]	[]	[]	[]	[]	[]	[8, 11]	[]	[]	[]	[8]	[]	[]	[]
wisconsin	[4, 5, 6, 7, 11, 14, 15]	[]	[]	[]	[]	[]	[]	[]	[15]	[]	[]	[]	[]	[]	[]	[]
yeast1	[]	[3, 9]	[]	[]	[3]	[1, 2, 3, 9, 10, 12, 13, 15, 16]	[3]	[]	[]	[]	[3, 9]	[]	[3]	[3]	[]	[]
yeast3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
