	NBBag_k3_fi2_chebyshev	NBBag_k5_fi2_chebyshev	NBBag_k7_fi2_chebyshev	NBBag_k9_fi2_chebyshev	NBBag_k11_fi2_chebyshev	NBBag_k7_fi1_chebyshev
ecoli-0_vs_1	0.991	0.993	0.991	0.99	0.99	0.991
ecoli1	0.763	0.767	0.759	0.76	0.75	0.777
ecoli2	0.78	0.788	0.803	0.795	0.801	0.78
ecoli3	0.581	0.555	0.553	0.596	0.578	0.602
glass-0-1-2-3_vs_4-5-6	0.863	0.851	0.86	0.867	0.853	0.86
glass0	0.781	0.8	0.806	0.781	0.785	0.769
glass1	0.667	0.694	0.707	0.721	0.709	0.678
glass6	0.854	0.858	0.858	0.861	0.86	0.844
haberman	0.342	0.335	0.372	0.346	0.339	0.363
iris0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.901	0.899	0.924	0.934	0.924	0.915
newthyroid2	0.877	0.862	0.914	0.902	0.919	0.871
page-blocks0	0.87	0.871	0.873	0.871	0.875	0.879
pima	0.644	0.645	0.633	0.635	0.612	0.659
segment0	0.978	0.975	0.975	0.976	0.976	0.978
vehicle0	0.904	0.919	0.912	0.914	0.912	0.911
vehicle1	0.52	0.52	0.537	0.527	0.533	0.522
vehicle2	0.948	0.948	0.951	0.952	0.955	0.943
vehicle3	0.508	0.525	0.501	0.503	0.496	0.522
wisconsin	0.947	0.947	0.95	0.952	0.953	0.948
yeast1	0.552	0.553	0.556	0.548	0.558	0.551
yeast3	0.767	0.772	0.773	0.771	0.781	0.765
