	NBBag_k3_fi2_chebyshev	NBBag_k5_fi2_chebyshev	NBBag_k7_fi2_chebyshev	NBBag_k9_fi2_chebyshev	NBBag_k11_fi2_chebyshev	NBBag_k7_fi1_chebyshev
ecoli-0_vs_1	0.985	0.987	0.985	0.983	0.983	0.985
ecoli1	0.844	0.842	0.839	0.841	0.829	0.853
ecoli2	0.842	0.843	0.856	0.85	0.855	0.852
ecoli3	0.703	0.688	0.692	0.731	0.712	0.727
glass-0-1-2-3_vs_4-5-6	0.907	0.896	0.903	0.908	0.897	0.902
glass0	0.832	0.848	0.853	0.832	0.833	0.824
glass1	0.732	0.755	0.762	0.772	0.763	0.742
glass6	0.914	0.923	0.923	0.909	0.909	0.921
haberman	0.501	0.493	0.525	0.502	0.496	0.518
iris0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.938	0.932	0.948	0.957	0.948	0.947
newthyroid2	0.914	0.905	0.946	0.937	0.941	0.913
page-blocks0	0.922	0.922	0.923	0.921	0.924	0.929
pima	0.719	0.72	0.709	0.711	0.692	0.73
segment0	0.984	0.983	0.983	0.984	0.984	0.984
vehicle0	0.94	0.95	0.948	0.947	0.943	0.943
vehicle1	0.645	0.643	0.653	0.645	0.649	0.645
vehicle2	0.965	0.965	0.966	0.967	0.969	0.962
vehicle3	0.623	0.636	0.617	0.621	0.615	0.633
wisconsin	0.96	0.96	0.963	0.965	0.965	0.96
yeast1	0.66	0.66	0.66	0.655	0.663	0.66
yeast3	0.866	0.87	0.875	0.876	0.88	0.866
