	NBBag_k3_fi2_chebyshev	NBBag_k5_fi2_chebyshev	NBBag_k7_fi2_chebyshev	NBBag_k9_fi2_chebyshev	NBBag_k11_fi2_chebyshev	NBBag_k7_fi1_chebyshev
ecoli-0_vs_1	0.987	0.987	0.987	0.987	0.987	0.987
ecoli1	0.76	0.778	0.766	0.763	0.769	0.775
ecoli2	0.852	0.87	0.874	0.873	0.873	0.825
ecoli3	0.683	0.627	0.632	0.64	0.654	0.668
glass-0-1-2-3_vs_4-5-6	0.87	0.868	0.878	0.887	0.874	0.878
glass0	0.8	0.815	0.816	0.809	0.817	0.779
glass1	0.735	0.755	0.796	0.804	0.798	0.746
glass6	0.865	0.854	0.854	0.893	0.893	0.822
haberman	0.386	0.406	0.435	0.411	0.403	0.403
iris0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.908	0.916	0.939	0.942	0.939	0.921
newthyroid2	0.923	0.912	0.929	0.923	0.956	0.912
page-blocks0	0.879	0.883	0.883	0.883	0.886	0.884
pima	0.681	0.673	0.681	0.678	0.663	0.695
segment0	0.985	0.982	0.982	0.982	0.982	0.985
vehicle0	0.894	0.908	0.895	0.904	0.909	0.908
vehicle1	0.576	0.585	0.62	0.609	0.619	0.587
vehicle2	0.948	0.95	0.952	0.953	0.957	0.941
vehicle3	0.64	0.658	0.637	0.626	0.618	0.662
wisconsin	0.945	0.945	0.943	0.945	0.946	0.947
yeast1	0.617	0.63	0.64	0.628	0.638	0.616
yeast3	0.765	0.766	0.76	0.752	0.765	0.758
