	NBBag_k3_fi2_chebyshev	NBBag_k5_fi2_chebyshev	NBBag_k7_fi2_chebyshev	NBBag_k9_fi2_chebyshev	NBBag_k11_fi2_chebyshev	NBBag_k7_fi1_chebyshev
ecoli-0_vs_1	0.997	1.0	0.997	0.993	0.993	0.997
ecoli1	0.775	0.761	0.761	0.768	0.742	0.788
ecoli2	0.738	0.738	0.758	0.748	0.758	0.76
ecoli3	0.529	0.514	0.514	0.571	0.543	0.571
glass-0-1-2-3_vs_4-5-6	0.863	0.844	0.853	0.863	0.844	0.853
glass0	0.771	0.793	0.807	0.771	0.764	0.764
glass1	0.62	0.653	0.646	0.658	0.645	0.634
glass6	0.86	0.88	0.88	0.847	0.847	0.88
haberman	0.315	0.296	0.334	0.303	0.303	0.334
iris0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.9	0.886	0.914	0.929	0.914	0.914
newthyroid2	0.857	0.843	0.914	0.9	0.9	0.857
page-blocks0	0.861	0.861	0.863	0.86	0.864	0.875
pima	0.615	0.623	0.595	0.599	0.571	0.629
segment0	0.971	0.969	0.969	0.971	0.971	0.971
vehicle0	0.917	0.932	0.932	0.927	0.917	0.917
vehicle1	0.477	0.473	0.477	0.47	0.472	0.475
vehicle2	0.95	0.947	0.95	0.952	0.954	0.945
vehicle3	0.424	0.443	0.417	0.426	0.419	0.436
wisconsin	0.95	0.95	0.958	0.96	0.96	0.95
yeast1	0.5	0.496	0.493	0.489	0.5	0.5
yeast3	0.777	0.782	0.792	0.795	0.801	0.776
