	NBBag_k3_fi2_chebyshev	NBBag_k5_fi2_chebyshev	NBBag_k7_fi2_chebyshev	NBBag_k9_fi2_chebyshev	NBBag_k11_fi2_chebyshev	NBBag_k7_fi1_chebyshev
ecoli-0_vs_1	0.975	0.975	0.975	0.975	0.975	0.975
ecoli1	0.927	0.934	0.929	0.927	0.932	0.93
ecoli2	0.977	0.981	0.981	0.981	0.981	0.97
ecoli3	0.967	0.963	0.963	0.962	0.963	0.963
glass-0-1-2-3_vs_4-5-6	0.957	0.957	0.96	0.963	0.96	0.96
glass0	0.903	0.91	0.907	0.906	0.914	0.893
glass1	0.873	0.881	0.91	0.913	0.91	0.88
glass6	0.976	0.973	0.973	0.981	0.981	0.968
haberman	0.816	0.827	0.833	0.836	0.829	0.82
iris0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.981	0.983	0.989	0.989	0.989	0.983
newthyroid2	0.981	0.978	0.983	0.981	0.989	0.978
page-blocks0	0.986	0.987	0.987	0.987	0.987	0.987
pima	0.844	0.835	0.848	0.846	0.843	0.85
segment0	0.997	0.997	0.997	0.997	0.997	0.997
vehicle0	0.965	0.97	0.965	0.968	0.971	0.97
vehicle1	0.875	0.879	0.896	0.891	0.896	0.881
vehicle2	0.982	0.982	0.983	0.983	0.985	0.979
vehicle3	0.919	0.92	0.92	0.915	0.913	0.923
wisconsin	0.97	0.97	0.968	0.97	0.97	0.971
yeast1	0.873	0.88	0.886	0.881	0.882	0.873
yeast3	0.97	0.97	0.969	0.967	0.969	0.969
