	NBBag_k3_fi2_chebyshev	NBBag_k5_fi2_chebyshev	NBBag_k7_fi2_chebyshev	NBBag_k9_fi2_chebyshev	NBBag_k11_fi2_chebyshev	NBBag_k7_fi1_chebyshev
ecoli-0_vs_1	[]	[]	[]	[]	[]	[]
ecoli1	[]	[4]	[]	[]	[]	[]
ecoli2	[]	[]	[]	[]	[]	[]
ecoli3	[]	[]	[]	[]	[]	[]
glass-0-1-2-3_vs_4-5-6	[]	[]	[]	[]	[]	[]
glass0	[]	[]	[]	[]	[]	[]
glass1	[]	[]	[]	[1, 2, 6]	[]	[]
glass6	[]	[]	[]	[6]	[6]	[]
haberman	[]	[]	[]	[]	[]	[]
iris0	[]	[]	[]	[]	[]	[]
new-thyroid1	[]	[]	[]	[]	[]	[]
newthyroid2	[]	[]	[]	[]	[2, 6]	[]
page-blocks0	[]	[]	[]	[]	[]	[]
pima	[]	[]	[]	[]	[]	[]
segment0	[]	[]	[]	[]	[]	[]
vehicle0	[]	[]	[]	[]	[3]	[]
vehicle1	[]	[]	[1, 2]	[1]	[1, 2, 6]	[]
vehicle2	[]	[]	[]	[]	[1]	[]
vehicle3	[]	[]	[]	[]	[]	[5]
wisconsin	[]	[]	[]	[]	[]	[]
yeast1	[]	[]	[6]	[]	[]	[]
yeast3	[]	[]	[]	[]	[]	[]
