	NBBag_k7_fi1_chebyshev	NBBag_k7_fi1_cosine	NBBag_k7_fi1_euclidean	NBBag_k7_fi1_manhattan
ecoli-0_vs_1	0.985	0.985	0.985	0.985
ecoli1	0.853	0.855	0.856	0.846
ecoli2	0.852	0.84	0.835	0.847
ecoli3	0.727	0.719	0.719	0.719
glass-0-1-2-3_vs_4-5-6	0.902	0.913	0.919	0.925
glass0	0.824	0.816	0.832	0.815
glass1	0.742	0.717	0.74	0.736
glass6	0.921	0.901	0.921	0.911
haberman	0.518	0.517	0.515	0.524
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.947	0.932	0.947	0.94
newthyroid2	0.913	0.913	0.913	0.913
page-blocks0	0.929	0.926	0.926	0.926
pima	0.73	0.72	0.735	0.732
segment0	0.984	0.985	0.985	0.985
vehicle0	0.943	0.938	0.938	0.941
vehicle1	0.645	0.643	0.646	0.65
vehicle2	0.962	0.961	0.964	0.959
vehicle3	0.633	0.633	0.628	0.641
wisconsin	0.96	0.961	0.958	0.96
yeast1	0.66	0.664	0.659	0.656
yeast3	0.866	0.864	0.865	0.863
