	NBBag_k7_fi1_chebyshev	NBBag_k7_fi1_cosine	NBBag_k7_fi1_euclidean	NBBag_k7_fi1_manhattan
ecoli-0_vs_1	0.987	0.987	0.987	0.987
ecoli1	0.775	0.769	0.77	0.773
ecoli2	0.825	0.831	0.84	0.841
ecoli3	0.668	0.667	0.677	0.663
glass-0-1-2-3_vs_4-5-6	0.878	0.881	0.882	0.892
glass0	0.779	0.806	0.781	0.789
glass1	0.746	0.715	0.727	0.724
glass6	0.822	0.815	0.822	0.819
haberman	0.403	0.395	0.396	0.419
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.921	0.916	0.921	0.92
newthyroid2	0.912	0.912	0.912	0.912
page-blocks0	0.884	0.879	0.882	0.881
pima	0.695	0.688	0.7	0.701
segment0	0.985	0.983	0.983	0.985
vehicle0	0.908	0.896	0.904	0.899
vehicle1	0.587	0.582	0.57	0.588
vehicle2	0.941	0.935	0.94	0.935
vehicle3	0.662	0.649	0.635	0.66
wisconsin	0.947	0.94	0.941	0.943
yeast1	0.616	0.622	0.63	0.616
yeast3	0.758	0.769	0.762	0.759
