	NBBag_k7_fi1_chebyshev	NBBag_k7_fi1_cosine	NBBag_k7_fi1_euclidean	NBBag_k7_fi1_manhattan
ecoli-0_vs_1	0.986	0.986	0.986	0.986
ecoli1	0.859	0.86	0.861	0.852
ecoli2	0.865	0.856	0.852	0.862
ecoli3	0.767	0.76	0.761	0.76
glass-0-1-2-3_vs_4-5-6	0.906	0.916	0.921	0.927
glass0	0.828	0.823	0.835	0.821
glass1	0.757	0.735	0.753	0.752
glass6	0.924	0.905	0.924	0.915
haberman	0.577	0.574	0.572	0.582
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.949	0.935	0.949	0.942
newthyroid2	0.917	0.917	0.917	0.917
page-blocks0	0.931	0.928	0.928	0.928
pima	0.739	0.731	0.744	0.742
segment0	0.984	0.986	0.986	0.985
vehicle0	0.943	0.939	0.939	0.941
vehicle1	0.678	0.675	0.676	0.681
vehicle2	0.962	0.961	0.964	0.96
vehicle3	0.68	0.68	0.675	0.684
wisconsin	0.96	0.961	0.959	0.96
yeast1	0.686	0.689	0.688	0.684
yeast3	0.873	0.871	0.871	0.87
