	NBBag_k7_fi1_chebyshev	NBBag_k7_fi1_cosine	NBBag_k7_fi1_euclidean	NBBag_k7_fi1_manhattan
ecoli-0_vs_1	0.991	0.991	0.991	0.991
ecoli1	0.777	0.776	0.778	0.768
ecoli2	0.78	0.769	0.766	0.781
ecoli3	0.602	0.593	0.597	0.592
glass-0-1-2-3_vs_4-5-6	0.86	0.872	0.879	0.888
glass0	0.769	0.765	0.777	0.76
glass1	0.678	0.648	0.674	0.669
glass6	0.844	0.823	0.844	0.833
haberman	0.363	0.359	0.358	0.371
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.915	0.899	0.915	0.907
newthyroid2	0.871	0.871	0.871	0.871
page-blocks0	0.879	0.873	0.875	0.875
pima	0.659	0.647	0.665	0.661
segment0	0.978	0.978	0.978	0.978
vehicle0	0.911	0.902	0.905	0.905
vehicle1	0.522	0.519	0.519	0.527
vehicle2	0.943	0.94	0.944	0.938
vehicle3	0.522	0.521	0.513	0.532
wisconsin	0.948	0.947	0.945	0.947
yeast1	0.551	0.556	0.553	0.547
yeast3	0.765	0.768	0.765	0.762
