	NBBag_k7_fi1_chebyshev	NBBag_k7_fi1_cosine	NBBag_k7_fi1_euclidean	NBBag_k7_fi1_manhattan
ecoli-0_vs_1	0.997	0.997	0.997	0.997
ecoli1	0.788	0.794	0.794	0.774
ecoli2	0.76	0.74	0.73	0.75
ecoli3	0.571	0.557	0.557	0.557
glass-0-1-2-3_vs_4-5-6	0.853	0.872	0.882	0.891
glass0	0.764	0.736	0.779	0.743
glass1	0.634	0.608	0.64	0.634
glass6	0.88	0.843	0.88	0.863
haberman	0.334	0.334	0.334	0.34
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.914	0.886	0.914	0.9
newthyroid2	0.857	0.857	0.857	0.857
page-blocks0	0.875	0.869	0.869	0.869
pima	0.629	0.616	0.636	0.631
segment0	0.971	0.974	0.974	0.973
vehicle0	0.917	0.912	0.909	0.917
vehicle1	0.475	0.47	0.481	0.482
vehicle2	0.945	0.945	0.95	0.943
vehicle3	0.436	0.441	0.434	0.448
wisconsin	0.95	0.956	0.95	0.952
yeast1	0.5	0.505	0.495	0.493
yeast3	0.776	0.77	0.773	0.77
