	NBBag_k7_fi1_chebyshev	NBBag_k7_fi1_cosine	NBBag_k7_fi1_euclidean	NBBag_k7_fi1_manhattan
ecoli-0_vs_1	0.975	0.975	0.975	0.975
ecoli1	0.93	0.927	0.929	0.931
ecoli2	0.97	0.972	0.974	0.974
ecoli3	0.963	0.963	0.965	0.963
glass-0-1-2-3_vs_4-5-6	0.96	0.96	0.96	0.963
glass0	0.893	0.91	0.892	0.9
glass1	0.88	0.863	0.866	0.87
glass6	0.968	0.968	0.968	0.968
haberman	0.82	0.813	0.811	0.824
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.983	0.983	0.983	0.983
newthyroid2	0.978	0.978	0.978	0.978
page-blocks0	0.987	0.986	0.987	0.986
pima	0.85	0.847	0.851	0.853
segment0	0.997	0.997	0.997	0.997
vehicle0	0.97	0.965	0.968	0.966
vehicle1	0.881	0.88	0.871	0.88
vehicle2	0.979	0.977	0.979	0.977
vehicle3	0.923	0.919	0.916	0.921
wisconsin	0.971	0.966	0.967	0.968
yeast1	0.873	0.874	0.88	0.874
yeast3	0.969	0.971	0.97	0.969
