	NBBag_k7_fi0.5_euclidean	NBBag_k7_fi1_euclidean	NBBag_k7_fi1.5_euclidean	NBBag_k7_fi2_euclidean
ecoli-0_vs_1	0.985	0.985	0.987	0.983
ecoli1	0.844	0.856	0.856	0.842
ecoli2	0.838	0.835	0.854	0.832
ecoli3	0.723	0.719	0.718	0.723
glass-0-1-2-3_vs_4-5-6	0.919	0.919	0.912	0.907
glass0	0.826	0.832	0.83	0.835
glass1	0.729	0.74	0.738	0.753
glass6	0.921	0.921	0.915	0.915
haberman	0.49	0.515	0.493	0.517
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.947	0.947	0.94	0.933
newthyroid2	0.913	0.913	0.913	0.93
page-blocks0	0.925	0.926	0.923	0.924
pima	0.723	0.735	0.718	0.717
segment0	0.985	0.985	0.984	0.983
vehicle0	0.942	0.938	0.946	0.951
vehicle1	0.632	0.646	0.647	0.654
vehicle2	0.963	0.964	0.963	0.965
vehicle3	0.626	0.628	0.623	0.631
wisconsin	0.958	0.958	0.961	0.962
yeast1	0.663	0.659	0.661	0.656
yeast3	0.868	0.865	0.865	0.877
