	NBBag_k7_fi0.5_euclidean	NBBag_k7_fi1_euclidean	NBBag_k7_fi1.5_euclidean	NBBag_k7_fi2_euclidean
ecoli-0_vs_1	0.997	0.997	1.0	0.993
ecoli1	0.768	0.794	0.787	0.768
ecoli2	0.739	0.73	0.758	0.719
ecoli3	0.557	0.557	0.557	0.557
glass-0-1-2-3_vs_4-5-6	0.882	0.882	0.872	0.863
glass0	0.764	0.779	0.764	0.771
glass1	0.614	0.64	0.633	0.626
glass6	0.88	0.88	0.863	0.863
haberman	0.304	0.334	0.31	0.334
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.914	0.914	0.9	0.886
newthyroid2	0.857	0.857	0.857	0.886
page-blocks0	0.868	0.869	0.864	0.865
pima	0.616	0.636	0.612	0.612
segment0	0.974	0.974	0.971	0.969
vehicle0	0.917	0.909	0.922	0.932
vehicle1	0.456	0.481	0.477	0.486
vehicle2	0.947	0.95	0.945	0.949
vehicle3	0.429	0.434	0.427	0.438
wisconsin	0.95	0.95	0.95	0.956
yeast1	0.507	0.495	0.499	0.489
yeast3	0.78	0.773	0.773	0.795
