	NBBag_k7_fi0.5_euclidean	NBBag_k7_fi1_euclidean	NBBag_k7_fi1.5_euclidean	NBBag_k7_fi2_euclidean
ecoli-0_vs_1	0.975	0.975	0.975	0.975
ecoli1	0.934	0.929	0.936	0.931
ecoli2	0.97	0.974	0.977	0.981
ecoli3	0.958	0.965	0.965	0.965
glass-0-1-2-3_vs_4-5-6	0.96	0.96	0.957	0.957
glass0	0.896	0.892	0.906	0.91
glass1	0.881	0.866	0.873	0.913
glass6	0.968	0.968	0.973	0.973
haberman	0.818	0.811	0.809	0.822
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.983	0.983	0.983	0.989
newthyroid2	0.978	0.978	0.978	0.983
page-blocks0	0.986	0.987	0.986	0.986
pima	0.851	0.851	0.845	0.841
segment0	0.997	0.997	0.997	0.997
vehicle0	0.968	0.968	0.971	0.971
vehicle1	0.881	0.871	0.881	0.881
vehicle2	0.979	0.979	0.981	0.982
vehicle3	0.917	0.916	0.923	0.917
wisconsin	0.966	0.967	0.972	0.968
yeast1	0.869	0.88	0.877	0.883
yeast3	0.97	0.97	0.969	0.969
