	NBBag_k7_fi0.5_euclidean	NBBag_k7_fi1_euclidean	NBBag_k7_fi1.5_euclidean	NBBag_k7_fi2_euclidean
ecoli-0_vs_1	0.986	0.986	0.987	0.984
ecoli1	0.851	0.861	0.862	0.849
ecoli2	0.855	0.852	0.868	0.85
ecoli3	0.758	0.761	0.761	0.761
glass-0-1-2-3_vs_4-5-6	0.921	0.921	0.914	0.91
glass0	0.83	0.835	0.835	0.841
glass1	0.747	0.753	0.753	0.77
glass6	0.924	0.924	0.918	0.918
haberman	0.561	0.572	0.559	0.578
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.949	0.949	0.942	0.937
newthyroid2	0.917	0.917	0.917	0.935
page-blocks0	0.927	0.928	0.925	0.926
pima	0.733	0.744	0.728	0.726
segment0	0.986	0.986	0.984	0.983
vehicle0	0.943	0.939	0.946	0.952
vehicle1	0.668	0.676	0.679	0.684
vehicle2	0.963	0.964	0.963	0.966
vehicle3	0.673	0.675	0.675	0.678
wisconsin	0.958	0.959	0.961	0.962
yeast1	0.688	0.688	0.688	0.686
yeast3	0.875	0.871	0.871	0.882
