	NBBag_k7_fi0.5_euclidean	NBBag_k7_fi1_euclidean	NBBag_k7_fi1.5_euclidean	NBBag_k7_fi2_euclidean
ecoli-0_vs_1	0.991	0.991	0.993	0.99
ecoli1	0.769	0.778	0.785	0.764
ecoli2	0.763	0.766	0.794	0.775
ecoli3	0.581	0.597	0.595	0.597
glass-0-1-2-3_vs_4-5-6	0.879	0.879	0.868	0.863
glass0	0.771	0.777	0.779	0.785
glass1	0.663	0.674	0.673	0.697
glass6	0.844	0.844	0.849	0.849
haberman	0.332	0.358	0.331	0.36
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.915	0.915	0.907	0.908
newthyroid2	0.871	0.871	0.871	0.897
page-blocks0	0.872	0.875	0.87	0.872
pima	0.651	0.665	0.643	0.641
segment0	0.978	0.978	0.977	0.976
vehicle0	0.909	0.905	0.914	0.921
vehicle1	0.506	0.519	0.524	0.533
vehicle2	0.943	0.944	0.945	0.948
vehicle3	0.511	0.513	0.51	0.516
wisconsin	0.944	0.945	0.949	0.949
yeast1	0.554	0.553	0.553	0.549
yeast3	0.769	0.765	0.764	0.775
