	NBBag_k7_fi0.5_euclidean	NBBag_k7_fi1_euclidean	NBBag_k7_fi1.5_euclidean	NBBag_k7_fi2_euclidean
ecoli-0_vs_1	0.987	0.987	0.987	0.987
ecoli1	0.783	0.77	0.79	0.772
ecoli2	0.821	0.84	0.859	0.867
ecoli3	0.64	0.677	0.676	0.666
glass-0-1-2-3_vs_4-5-6	0.882	0.882	0.871	0.87
glass0	0.785	0.781	0.803	0.81
glass1	0.736	0.727	0.728	0.796
glass6	0.822	0.822	0.851	0.851
haberman	0.375	0.396	0.367	0.405
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.921	0.921	0.92	0.939
newthyroid2	0.912	0.912	0.912	0.929
page-blocks0	0.877	0.882	0.877	0.88
pima	0.694	0.7	0.681	0.676
segment0	0.983	0.983	0.983	0.983
vehicle0	0.904	0.904	0.91	0.912
vehicle1	0.575	0.57	0.588	0.597
vehicle2	0.939	0.94	0.945	0.948
vehicle3	0.64	0.635	0.646	0.64
wisconsin	0.939	0.941	0.949	0.943
yeast1	0.614	0.63	0.625	0.632
yeast3	0.764	0.762	0.759	0.76
